cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_K_repair,max_K_repair,avg_K_repair,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
23,1,35.8981373,128.6052037,106788,SPLY_LS,6.510493759549909,43,1.619356605065024,1.7726762491444217,1.6388220707051824,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,17.857142857142858,7.794587739698006,1.547126436781609,3.3000000000000003,1.6664743645337257,4.239793072951718,8.049819289561723,4.669437303885353,1.564,3.8681,1.565889211591373,13,150,22.900117953598834,0.0176674297246434,0.0335439994705681,0.019457778717155413
24,1,35.8983117,128.6039873,4145,SPLY_LS,6.454675610416853,39,1.6471184120465434,1.7455167693360711,1.6493375045687364,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.22222222222222,8.070034462961656,1.547126436781609,2.5777777777777775,1.7113343747053014,3.27556657926368,8.043560175167695,3.485934237889671,0.9475,1.6539,0.848352263128627,13,100,25.731419733467465,0.0136494497141207,0.0335179174279325,0.01452606226599811
25,1,35.8977199,128.6035563,211665,SPLY_LS,6.689716045055275,55,1.2150855578370978,1.7431622176591377,1.605940107963906,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.22222222222222,8.278598272250141,1.547126436781609,2.5777777777777775,1.7429302118059466,2.280285624051586,6.303982774169,3.4337390983009395,0.8378,2.7503,0.9077674442080793,13,100,26.665136022321228,0.0095020642097041,0.0262690114191009,0.014308562509574877
26,1,35.8902294,128.6026617,37842,SPLY_LS,5.774196674566099,41,1.5474606433949352,1.7366461327857632,1.6366460141323946,1.0,1.0,1.0,1.0,1.4,1.0621620983937976,9.523809523809524,17.857142857142858,8.350705054876961,1.7523809523809524,2.840816326530613,1.7080762076647005,4.90147561708402,9.356712345911442,4.784603467216478,1.6744,4.0016,1.4725101351463654,20,100,24.089165545392497,0.0204246939701699,0.0389898881810302,0.01993768187806438
27,2,35.8915451,128.5961415,2812,SPLY_LS,5.571864839935631,36,1.6276796714579056,1.7410266940451746,1.5647523219219877,1.3,1.3,1.3000000000000003,1.0,1.4,1.164203637343296,7.471264367816092,26.31578947368421,9.573322511054926,1.547126436781609,6.063157894736842,2.0456788596039344,4.947593222430933,34.520087141485476,7.560740534943325,1.2898,2.3871,1.0316493840333922,13,500,55.14789408073412,0.0206168683375308,0.143846929122927,0.03150598384613555
28,2,35.8898263,128.6010129,47811,PIPE_LM,5.243801288955055,31,1.7526899383983574,1.8396988364134157,1.602075312597956,1.0,1.3,1.0283634168144198,1.4,1.6,1.24147131873434,17.857142857142858,17.857142857142858,10.746462848132337,2.585714285714286,3.9746031746031742,2.246839726669035,5.564177350837856,17.38257339502749,6.003976531275757,0.236,3.0061,0.8389446057607607,50,400,80.88352749821904,0.0231862052298088,0.4132250031541143,0.04767033295328496
29,1,35.8910713,128.6032933,143987,SPLY_LS,5.498747908627607,58,1.6576317590691307,1.747542778918549,1.6030860726771379,1.0,1.0,1.0,1.0,1.6,1.0636867074911354,7.471264367816092,17.857142857142858,8.777357969683782,1.547126436781609,3.3000000000000003,1.8270558923375007,4.395524493969576,13.56709127596379,5.615729176492746,1.5968,6.9223,1.8504247184350593,13,150,32.89674834244716,0.0183163703425959,0.0565347477015049,0.023401024264904056
30,4,35.895874250000006,128.60974275,3801,SPLY_LS,4.6232383816080596,56,1.6531416837782342,1.7526899383983574,1.6288256022188294,1.0,1.0,1.0,1.0,1.2,1.0084795215999927,7.471264367816092,14.285714285714286,8.61512556355838,1.547126436781609,3.3000000000000003,1.8289173965468828,4.3804108482792214,13.490284710596164,4.7547466284896185,1.5949,7.0042,1.3486037725871491,13,150,34.341779318086985,0.0182533910253219,0.0562146909032897,0.019813266938247618
31,1,35.8927823,128.5978525,36445,SPLY_LS,6.785364416384516,55,1.6005201916495553,1.765284052019165,1.614545076487188,1.3,1.3,1.2702735923060646,1.0,1.2,1.0252714140863117,7.471264367816092,17.857142857142858,8.264495490914658,1.547126436781609,2.585714285714286,1.69147166621211,6.087139842916162,13.88447204160784,5.762216539233574,1.865,5.0244,1.4656579750316772,13,80,22.942118186483853,0.0253654160824237,0.0578572892209819,0.024011444429813223
32,1,35.898353,128.604123,4143,SPLY_LS,7.035174257592464,44,1.7051060917180014,1.7455167693360711,1.661102732091578,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,17.857142857142858,7.971706816538356,1.547126436781609,2.585714285714286,1.7001128371190002,4.592102262736008,8.043560175167695,3.8375897224934836,1.6374,3.4158,1.0182843755828108,13,100,25.367746990974222,0.019135519733934,0.0335179174279325,0.015991428253116433
33,3,35.8962819,128.61074166666666,72325,SPLY_LS,5.800076227562076,61,1.6837508555783711,1.7526899383983574,1.6234262820550573,1.0,1.0,1.0,1.0,1.2,1.013032177257248,7.471264367816092,9.846153846153848,8.013498724100199,1.547126436781609,2.466666666666667,1.6822228417700364,5.024773527128015,8.90068066552235,4.620445533873177,1.9225,4.273,1.5341487925274895,13,100,23.25090899856918,0.0209384825262187,0.0370895813672649,0.01925362756192618
34,1,35.8931139,128.6092693,178155,SPLY_LS,10.129155541368805,37,1.6384120465434635,1.7526899383983574,1.5842513305348445,1.0,1.0,1.0,1.0,1.6,1.1591466421602843,7.471264367816092,14.285714285714286,8.84252093634655,1.547126436781609,3.3000000000000003,1.838072832897999,2.5433609780937427,12.838491104672691,5.08879691276234,0.5202,2.36,1.1529182353829897,13,150,33.552859661528295,0.0105983123637655,0.0534986343577263,0.021205271175326272
35,1,35.8971656,128.6002114,210471,SPLY_LS,5.907347748640108,60,1.738672142368241,1.772785763175907,1.6558437332038713,1.0,1.0,1.0,1.0,1.2,1.041818869553124,7.471264367816092,20.833333333333332,9.10516701633654,1.547126436781609,4.966666666666667,1.8923517040187852,3.8340259431206993,12.29989176013464,4.25690685193749,1.1595,3.2425,0.9556858609398365,13,300,38.071787980920895,0.0159765778062811,0.051254263959069,0.017738743697366072
