CLUSTER_ID,REPAIR_COUNT,IS_MATCHED,MATCH_REASON,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
518.0,4.0,True,pipes_found,3.0,PIPE_LM,9.899087066438199,2.5,2.0,9.0196412645703,2,1,True
519.0,2.0,True,pipes_found,2.0,SPLY_LS,9.288185701112939,2.0,2.0,8.814707605355238,2,0,False
522.0,2.0,True,pipes_found,4.0,PIPE_LM,9.313416685782103,3.2857142857142856,4.0,3.8081300439139274,7,5,False
523.0,2.0,True,pipes_found,4.0,PIPE_LM,9.508817335129702,2.7142857142857144,2.0,6.605762813159478,7,4,False
524.0,2.0,True,pipes_found,4.0,PIPE_LM,9.574657269506597,2.5,1.0,4.635715735776472,10,4,False
525.0,2.0,True,pipes_found,2.0,SPLY_LS,6.728062243486346,1.5,2.0,6.728062243486346,2,0,False
526.0,2.0,True,pipes_found,3.0,PIPE_LM,8.304641465683757,2.1666666666666665,2.0,7.839961440329872,6,1,False
527.0,3.0,True,pipes_found,4.0,PIPE_LM,9.236322927888422,2.875,2.0,5.45131620560286,8,5,False
528.0,2.0,True,pipes_found,4.0,PIPE_LM,9.874683374926393,3.2,2.0,7.766115888626078,5,3,False
530.0,2.0,True,pipes_found,3.0,PIPE_LM,9.025614014578546,2.5,2.0,8.497611976490205,2,1,False
531.0,2.0,True,pipes_found,3.0,PIPE_LM,9.836786813965775,2.0,1.0,6.796956658320164,6,2,False
532.0,2.0,True,pipes_found,2.0,SPLY_LS,9.023380916860184,2.0,2.0,9.023380916860184,1,0,False
533.0,2.0,True,pipes_found,4.0,PIPE_LM,7.362286310979023,3.0,2.0,4.938903745413981,4,2,False
535.0,2.0,True,pipes_found,4.0,PIPE_LM,8.402792486551558,3.0,2.0,7.139408866031987,5,3,False
537.0,3.0,True,pipes_found,3.0,PIPE_LM,8.693332799863535,2.4285714285714284,2.0,7.537055453227261,7,3,False
538.0,3.0,True,pipes_found,2.0,PIPE_LM,8.389533327375625,1.3333333333333333,1.0,7.093298045152232,3,0,False
539.0,2.0,True,pipes_found,3.0,PIPE_LM,8.607903497593322,3.0,3.0,8.607903497593322,1,1,False
540.0,2.0,True,pipes_found,2.0,SPLY_LS,9.478297021079202,2.0,2.0,9.478297021079202,1,0,False
542.0,2.0,True,pipes_found,3.0,PIPE_LM,9.234017389435884,2.5,2.0,8.092214840430248,2,1,False
543.0,2.0,True,pipes_found,4.0,PIPE_LM,7.87425021230755,2.6666666666666665,2.0,6.085053576783725,3,1,False
544.0,2.0,True,pipes_found,4.0,PIPE_LM,7.709003201475271,3.0,3.0,6.517735972084634,3,2,False
545.0,4.0,True,pipes_found,3.0,PIPE_LM,9.477791717434068,2.3333333333333335,3.0,7.867817552808232,6,2,True
546.0,2.0,True,pipes_found,4.0,PIPE_LM,9.150906425696288,2.5,2.0,7.049742005960578,8,3,False
547.0,2.0,True,pipes_found,3.0,PIPE_LM,7.631410099091872,2.4,3.0,7.631410099091872,5,2,False
548.0,2.0,True,pipes_found,4.0,PIPE_LM,9.259370454548213,2.4166666666666665,2.0,7.680906336909245,12,6,False
549.0,3.0,True,pipes_found,2.0,SPLY_LS,8.69223297911794,2.0,2.0,8.69223297911794,1,0,False
