OPERATION_ID,REPAIR_COUNT_AT_LOCATION,작업타입,작업종료일,IS_MATCHED,MATCH_REASON,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
86,1,지하누수,,True,pipes_found,4.0,PIPE_LM,19.438372183381457,2.902439024390244,2.0,7.697617587402752,41,22,False
87,1,지하누수,,True,pipes_found,4.0,PIPE_LM,16.19264684042307,2.7872340425531914,3.0,7.69949872156625,47,27,False
88,2,지하누수,,True,pipes_found,4.0,PIPE_LM,13.268693089787144,2.7708333333333335,3.0,7.737859981959252,48,25,False
89,1,지하누수,,True,pipes_found,5.0,PIPE_LM,18.309921739260037,2.4814814814814814,3.0,3.3725953026007023,27,12,False
90,3,지하누수,,True,pipes_found,4.0,PIPE_LM,23.564278577470052,2.6052631578947367,3.0,7.161696741318339,38,22,False
91,1,지하누수,,True,pipes_found,4.0,PIPE_LM,29.710735875048844,2.75,4.0,7.645698499733948,24,13,False
92,3,지하누수,,True,pipes_found,4.0,PIPE_LM,20.69446496057253,2.975,4.0,7.565882625721662,40,25,False
93,5,지상누수,,True,pipes_found,4.0,PIPE_LM,13.986014467152236,2.6923076923076925,4.0,13.986014467152236,39,16,True
94,1,지하누수,,True,pipes_found,4.0,PIPE_LM,28.165547204607904,2.5918367346938775,4.0,8.160310197670109,49,21,False
95,1,지상누수,,True,pipes_found,4.0,PIPE_LM,29.675923171032558,2.6666666666666665,2.0,5.650526069692858,30,16,False
96,1,지상누수,,True,pipes_found,4.0,PIPE_LM,26.546112063164045,2.784313725490196,2.0,8.270807794151422,51,28,False
97,3,지상누수,,True,pipes_found,4.0,PIPE_LM,19.69327331417608,2.7222222222222223,2.0,5.907911695202044,54,30,False
98,2,지상누수,,True,pipes_found,4.0,PIPE_LM,26.486384092754093,2.769230769230769,1.0,7.012625867994816,26,14,False
99,1,지하누수,,True,pipes_found,4.0,PIPE_LM,22.75711862553377,2.8636363636363638,2.0,3.9248645328867764,44,22,False
100,1,지하누수,,True,pipes_found,4.0,PIPE_LM,27.656156290157995,2.706896551724138,3.0,3.897708721772081,58,34,False
101,1,지하누수,,True,pipes_found,4.0,PIPE_LM,15.717461930142111,2.72,2.0,11.564153995010981,50,25,False
102,1,지상누수,,True,pipes_found,4.0,PIPE_LM,18.763424886571254,2.5135135135135136,2.0,6.582541853359973,74,33,False
103,1,지상누수,,True,pipes_found,4.0,PIPE_LM,25.47443598524119,2.878787878787879,2.0,8.18409949755132,33,18,False
104,1,지상누수,,True,pipes_found,4.0,PIPE_LM,10.65941574795059,2.5217391304347827,3.0,5.1312245404224335,23,12,False
105,5,지하누수,,True,pipes_found,4.0,PIPE_LM,23.2136681803212,2.6538461538461537,1.0,9.199037495156258,52,27,True
106,6,지하누수,,True,pipes_found,4.0,PIPE_LM,14.430932888548476,2.7419354838709675,2.0,12.625001907829875,31,19,True
107,1,지상누수,,True,pipes_found,4.0,PIPE_LM,27.99972975913008,2.9743589743589745,2.0,5.6857983581755915,39,26,False
108,1,지하누수,,True,pipes_found,4.0,PIPE_LM,23.861089534479078,2.893617021276596,2.0,10.046329380807649,47,30,False
109,1,지상누수,,True,pipes_found,4.0,PIPE_LM,12.45410073892427,2.5714285714285716,2.0,6.427391553092102,42,20,False
110,3,지하누수,,True,pipes_found,4.0,PIPE_LM,16.299633738891647,3.046511627906977,2.0,7.364573284571344,43,30,False
111,3,지하누수,,True,pipes_found,4.0,PIPE_LM,20.691402412516247,2.861111111111111,3.0,6.245337346510557,36,23,False
112,1,지하누수,,True,pipes_found,4.0,PIPE_LM,6.805987223962162,2.8222222222222224,2.0,3.313278448757662,45,26,False
113,1,지상누수,,True,pipes_found,4.0,PIPE_LM,20.887960794650894,2.391304347826087,3.0,13.433434039123338,23,10,False
114,2,지상누수,,True,pipes_found,4.0,PIPE_LM,22.610146970983166,2.4782608695652173,1.0,6.83844964860248,23,11,False
116,1,지상누수,,True,pipes_found,4.0,PIPE_LM,26.970929462729373,2.75,2.0,9.144656761786857,40,23,False
117,1,지상누수,,True,pipes_found,4.0,PIPE_LM,29.40360305369575,2.676470588235294,1.0,6.769330100730926,34,18,False
118,1,지하누수,,True,pipes_found,4.0,PIPE_LM,25.24762767045976,2.8947368421052633,2.0,13.63004102262344,38,20,False
119,1,지상누수,,True,pipes_found,4.0,PIPE_LM,25.346135180797965,2.925925925925926,4.0,4.406695766038951,27,17,False
120,3,지상누수,,True,pipes_found,4.0,PIPE_LM,26.557148787709348,2.606060606060606,3.0,7.205037688618996,33,18,False
121,5,지상누수,,True,pipes_found,4.0,PIPE_LM,8.639659298567468,2.4680851063829787,4.0,8.639659298567468,47,20,True
122,6,지상누수,,True,pipes_found,4.0,PIPE_LM,14.430932888548476,2.7419354838709675,2.0,12.625001907829875,31,19,True
123,3,지상누수,,True,pipes_found,4.0,PIPE_LM,26.557148787709348,2.606060606060606,3.0,7.205037688618996,33,18,False
124,1,지상누수,,True,pipes_found,4.0,PIPE_LM,21.59146424518843,2.90625,3.0,5.921560373739306,32,20,False
