DATA_SRC,zone,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,AVG_DEP,PIP_TYPE,IST_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,high_total_cycles,low_total_cycles,design_pressure,thickness,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_material,K_repair,K_total,fatigue_limit,D_base,D_final_org,D_final,remaining_life_years,high_fatigue_damage,low_fatigue_damage,SMZ_NUM,GIS_IDN,FTC_CDE,CLS_YMD,GU_CDE,MDZ_NUM,LGZ_NUM,WTP_CDE,FNS_YMD,MET_IDN
SPLY_LS,0200,SA002,600420,5011025300,336061973,6500000,MOP005,16.0,1.57,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L1.6/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600428,5011025300,336061963,6500000,MOP005,16.0,6.59,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L6.6/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600434,5011025300,336061963,6500000,MOP005,16.0,4.61,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L4.6/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600356,5011025300,336061963,6500000,MOP005,16.0,3.75,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L3.7/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600362,5011025300,336061973,6500000,MOP005,16.0,3.71,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L3.7/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600370,5011025300,336061974,6500000,MOP005,16.0,3.97,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L4.0/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,600380,5011025300,336061964,6500000,MOP005,16.0,1.72,JHT910,0.0,0.0,WT2021080331,1,2020/PE/%%C16/L1.7/D--,,0.0,PE,2020-01-01,2020-01-01,2375.0,6.50239561943874,128583.0,1002.0,1.6,4.6,0.9083709268125845,1.1300479123887748,1.2,1.0,1.05,2.7826086956521743,1.1478260869565218,1.1,0.0,1.6330497077728687,100000.0,0.138603,0.22634558864644294,0.22634558864644294,3.4180229267115214,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,307697,5011025300,336061983,6500000,MOP028,13.0,2.83,JHT910,0.0,0.0,WT2022080425,1,1900/PE/Ø13/L2.8/D,,0.0,PE,1900-01-01,1900-01-01,46204.0,126.4996577686516,128583.0,1002.0,1.6,4.6,0.8979889585736722,3.529993155373032,1.2,1.0,1.05,2.2608695652173916,1.0826086956521739,1.1,0.0,4.756413481335472,100000.0,0.138603,0.6592531777535404,0.6592531777535404,0.5168679253205611,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,306886,5011025300,336061983,6500000,MOP028,13.0,3.66,JHT910,0.0,0.0,WT2022080425,1,1900/PE/Ø13/L3.7/D,,0.0,PE,1900-01-01,1900-01-01,46204.0,126.4996577686516,128583.0,1002.0,1.6,4.6,0.8979889585736722,3.529993155373032,1.2,1.0,1.05,2.2608695652173916,1.0826086956521739,1.1,0.0,4.756413481335472,100000.0,0.138603,0.6592531777535404,0.6592531777535404,0.5168679253205611,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,306887,5011025300,336061983,6500000,MOP028,13.0,2.75,JHT910,0.0,0.0,WT2022080425,1,1900/PE/Ø13/L2.8/D,,0.0,PE,1900-01-01,1900-01-01,46204.0,126.4996577686516,128583.0,1002.0,1.6,4.6,0.8979889585736722,3.529993155373032,1.2,1.0,1.05,2.2608695652173916,1.0826086956521739,1.1,0.0,4.756413481335472,100000.0,0.138603,0.6592531777535404,0.6592531777535404,0.5168679253205611,0.128583,0.01002,0200,,,,,,,,,
