FTR_CDE,FTR_IDN,HJD_CDE,BJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,PIP_LBL,AVG_DEP,SYS_CHK,IQT_CDE,SHAPE_LEN,MNF
SA002,302863,5011056000,5011010600,336071174,6500000,20011127,SAA005,MOP032,15.0,2.28,JHT904,0.0,0.0,WT2021080329,2001/HI-3P/Ø15/L2.3/D,0.0,1,IQT004,2.27755680500,62
SA002,303263,5011056000,5011010600,336071174,6500000,19991209,SAA005,MOP002,15.0,1.67,JHT903,0.0,0.0,WT2021080329,1999/SP/Ø15/L1.7/D,0.0,1,IQT904,1.67074336749,62
SA002,304121,5011056000,5011010600,336071174,6500000,20001016,SAA005,MOP002,15.0,7.83,JHT903,0.0,0.0,WT2021080329,2000/SP/Ø15/L7.8/D,0.0,1,IQT904,7.82976000380,62
SA002,303145,5011056000,5011010600,336071165,6500000,20010711,SAA005,MOP032,15.0,0.45,JHT904,0.0,0.0,WT2021080329,2001/HI-3P/Ø15/L0.5/D,0.0,1,IQT004,0.45064398365,62
SA002,303626,5011056000,5011010600,336071164,6500000,19940101,SAA005,MOP921,15.0,1.66,JHT092,0.0,0.0,WT2021080329,1994/PFP/Ø15/L1.7/D,0.0,1,IQT004,1.65950803553,62
SA002,303627,5011056000,5011010600,336071175,6500000,20020622,SAA005,MOP032,15.0,3.1,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L3.1/D,0.0,1,IQT004,3.09990919222,62
SA002,303338,5011056000,5011010600,336071175,6500000,20010628,SAA005,MOP032,15.0,0.33,JHT904,0.0,0.0,WT2021080329,2001/HI-3P/Ø15/L0.3/D,0.0,1,IQT004,0.33264094757,62
SA002,304135,5011056000,5011010600,336071164,6500000,20030618,SAA005,MOP032,15.0,2.97,JHT904,0.0,0.0,WT2021080329,2003/HI-3P/Ø15/L3/D,0.0,1,IQT004,2.97260037677,62
SA002,303518,5011056000,5011010600,336071165,6500000,20020622,SAA005,MOP032,15.0,5.54,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L5.5/D,0.0,1,IQT004,5.53521713576,62
SA002,303520,5011056000,5011010600,336071175,6500000,19970429,SAA005,MOP032,15.0,0.96,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L1/D,0.0,1,IQT004,0.95751449075,62
SA002,303892,5011056000,5011010600,336071165,6500000,19880229,SAA005,MOP002,15.0,2.43,JHT903,0.0,0.0,WT2021080329,1988/SP/Ø15/L2.4/D,0.0,1,IQT904,2.43466732840,62
SA002,303898,5011056000,5011010600,336071164,6500000,20030618,SAA005,MOP032,15.0,1.57,JHT904,0.0,0.0,WT2021080329,2003/HI-3P/Ø15/L1.6/D,0.0,1,IQT004,1.56860734411,62
SA002,303085,5011056000,5011010600,336071165,6500000,20020622,SAA005,MOP032,20.0,2.6,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø20/L2.6/D,0.0,1,IQT004,2.59635610038,62
SA002,303434,5011056000,5011010600,336071175,6500000,20020622,SAA005,MOP032,15.0,1.7,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L1.7/D,0.0,1,IQT004,1.70403051616,62
SA002,303443,5011056000,5011010600,336071165,6500000,19980602,SAA005,MOP032,15.0,20.78,JHT904,0.0,0.0,WT2021080329,1998/HI-3P/Ø15/L20.8/D,0.0,1,IQT004,20.77984610150,62
SA002,303155,5011056000,5011010600,336071164,6500000,19000101,SAA005,MOP002,15.0,19.83,JHT903,0.0,0.0,WT2021080329,1900/SP/Ø15/L19.8/D,0.0,1,IQT904,19.82609496000,62
SA002,303165,5011056000,5011010600,336071165,6500000,20010101,SAA005,MOP002,20.0,3.15,JHT903,0.0,0.0,WT2021080329,2001/SP/Ø20/L3.2/D,0.0,1,IQT904,3.15390803281,62
SA002,303166,5011056000,5011010600,336071164,6500000,20011203,SAA005,MOP002,15.0,3.59,JHT903,0.0,0.0,WT2021080329,2001/SP/Ø15/L3.6/D,0.0,1,IQT904,3.58899482864,62
SA002,303176,5011056000,5011010600,336071164,6500000,20021131,SAA005,MOP032,15.0,1.38,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L1.4/D,0.0,1,IQT004,1.38016991708,62
SA002,302954,5011056000,5011010600,336071175,6500000,19970429,SAA005,MOP032,15.0,1.02,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L1/D,0.0,1,IQT004,1.02002401933,62
SA002,302957,5011051000,5011010100,336071175,6500000,19971211,SAA005,MOP032,15.0,2.06,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L2.1/D,0.0,1,IQT004,2.05781867034,62
SA002,302961,5011059000,5011010700,336071165,6500000,19971211,SAA005,MOP032,15.0,3.62,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L3.6/D,0.0,1,IQT004,3.62050052893,62
SA002,304158,5011056000,5011010600,336071175,6500000,19970429,SAA005,MOP032,20.0,0.64,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø20/L0.6/D,0.0,1,IQT004,0.63721660368,62
SA002,304161,5011056000,5011010600,336071164,6500000,19970101,SAA005,MOP032,15.0,1.8,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L1.8/D,0.0,1,IQT004,1.79583796596,62
SA002,304076,5011056000,5011010600,336071165,6500000,19950814,SAA005,MOP921,15.0,13.11,JHT092,0.0,0.0,WT2021080329,1995/PFP/Ø15/L13.1/D,0.0,1,IQT004,13.11406042520,62
SA002,304080,5011056000,5011010600,336071165,6500000,19970416,SAA005,MOP002,15.0,5.2,JHT903,0.0,0.0,WT2021080329,1997/SP/Ø15/L5.2/D,0.0,1,IQT904,5.19604897975,62
SA002,304358,5011056000,5011010600,336071165,6500000,19980209,SAA005,MOP002,15.0,1.78,JHT903,0.0,0.0,WT2021080329,1998/SP/Ø15/L1.8/D,0.0,1,IQT904,1.77790331008,62
SA002,304168,5011056000,5011010600,336071164,6500000,19940101,SAA005,MOP921,15.0,2.81,JHT092,0.0,0.0,WT2021080329,1994/PFP/Ø15/L2.8/D,0.0,1,IQT004,2.81055901913,62
SA002,304178,5011056000,5011010600,336071164,6500000,20021212,SAA005,MOP032,15.0,1.42,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L1.4/D,0.0,1,IQT004,1.42261866992,62
SA002,304266,5011056000,5011010600,336071164,6500000,19971110,SAA005,MOP032,15.0,9.73,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L9.7/D,0.0,1,IQT004,9.73044520461,62
SA002,304276,5011056000,5011010600,336071164,6500000,20021212,SAA005,MOP032,20.0,3.9,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø20/L3.9/D,0.0,1,IQT004,3.89940580602,62
SA002,304114,5011056000,5011010600,336071175,6500000,19000101,SAA005,MOP002,15.0,1.04,JHT903,0.0,0.0,WT2021080329,1900/SP/Ø15/L1/D,0.0,1,IQT904,1.04035618900,62
