FTR_CDE,FTR_IDN,CNT_NUM,SYS_CHK,STD_HOL,STD_VEL,PIP_LBL,IST_YMD,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,AVG_DEP,IQT_CDE,HJD_CDE,BJD_CDE,SHT_NUM,MNG_CDE,SAA_CDE,MOD_CDE,A_MOD_CDE,B_MOD_CDE,SHAPE_LEN
SA001,304996,WT2021080329,1,0.00,0.00,1992/DCIP/Ø400/L621.0/D0.9,19920101,MOP001,400.0,620.99,JHT002,0.69999999,1.20000005,0.89999998,IQT001,5011051000,5011010100,336071175,6500000,SAA004,,,,620.98951034400
SA001,304998,WT2021080329,1,0.00,0.00,1997/DCIP/Ø150/L14.3/D1.0,19970101,MOP001,150.0,14.31,JHT002,1.0,1.10000002,1.02999997,IQT001,5011056000,5011010600,336071165,6500000,SAA004,,,,14.31239210140
SA001,701467,WT2020080179,1,0.00,0.00,1997/DCIP/Ø80/L64.8/D0.6,19970101,MOP001,80.0,24.11,JHT002,0.60000002,0.60000002,0.60000002,IQT001,5011051000,5011010100,336071175,6500000,SAA004,,,,24.11361216450
SA001,701494,WT2020080179,1,0.00,0.00,1999/DCIP/Ø80/L3.0/D1.0,19990101,MOP001,80.0,3.01,JHT002,0.89999998,1.0,1.0,IQT001,5011051000,5011010100,336071175,6500000,SAA004,,,,3.01186450367
SA001,701562,WT2020080179,1,0.00,0.00,1900/DCIP/Ø200/L2.8/D0.9,19000101,MOP001,200.0,2.83,JHT002,0.80000001,0.89999998,0.89999998,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,2.82788059331
SA001,304311,WT2021080329,1,0.00,0.00,1998/HI-3P/Ø50/L44.4/D,19980101,MOP032,50.0,44.4,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,44.40317090750
SA001,304312,WT2021080329,1,0.00,0.00,1994/PFP/Ø50/L3.1/D,19940101,MOP921,50.0,3.11,JHT092,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,3.10948706059
SA001,304322,WT2021080329,1,0.00,0.00,1900/DCIP/Ø80/L1.0/D,19000101,MOP001,80.0,1.0,JHT002,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071174,6500000,SAA908,,,,0.99999722500
SA001,304339,WT2021080329,1,0.00,0.00,1997/DCIP/Ø80/L44.2/D0.7,19970101,MOP001,80.0,44.21,JHT002,0.69999999,0.80000001,0.73000002,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,44.21102838950
SA001,304387,WT2021080329,1,0.00,0.00,1997/DCIP/Ø80/L0.6/D0.6,19970101,MOP001,80.0,0.57,JHT002,0.60000002,0.60000002,0.60000002,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,0.56977978202
