FTR_IDN,pipe_length,K_repair,K_repair_per_m,K_repair_ground,K_repair_ground_per_m,K_repair_under,K_repair_under_per_m,K_repair_emergency,K_repair_emergency_per_m,K_repair_management,K_repair_management_per_m
71389.0,2.09,6.76,0.6759,0.59,0.0594,2.34,0.2338,3.83,0.3827,0.0,0.0
176442.0,2.51,4.74,0.4743,1.09,0.1089,2.26,0.2257,1.4,0.1397,0.0,0.0
210576.0,12.21,7.73,0.6336,1.39,0.1143,2.98,0.2439,3.36,0.2754,0.0,0.0
2948.0,3.86,6.08,0.6075,1.09,0.1093,2.68,0.2677,2.31,0.2305,0.0,0.0
36993.0,4.1,1.74,0.1737,0.01,0.0006,0.92,0.0925,0.81,0.0807,0.0,0.0
71536.0,4.21,1.25,0.1245,0.0,0.0,0.6,0.0605,0.64,0.0641,0.0,0.0
244134.0,20.99,3.36,0.16,0.97,0.0463,1.51,0.0718,0.88,0.0419,0.0,0.0
176441.0,5.04,2.33,0.2325,0.0,0.0,0.94,0.0945,1.38,0.138,0.0,0.0
71535.0,3.4,0.18,0.018,0.0,0.0,0.0,0.0,0.18,0.018,0.0,0.0
2866.0,4.49,1.56,0.1564,0.69,0.0692,0.13,0.0125,0.75,0.0747,0.0,0.0
244071.0,7.04,1.29,0.1291,0.32,0.0319,0.0,0.0,0.97,0.0972,0.0,0.0
36484.0,4.41,0.84,0.0839,0.26,0.0259,0.0,0.0,0.58,0.0581,0.0,0.0
176376.0,4.21,0.43,0.0428,0.0,0.0,0.0,0.0,0.43,0.0428,0.0,0.0
142154.0,4.99,1.61,0.1607,0.59,0.0592,0.0,0.0,1.02,0.1016,0.0,0.0
105175.0,3.62,0.67,0.0666,0.0,0.0,0.0,0.0,0.67,0.0666,0.0,0.0
105096.0,4.98,0.98,0.0983,0.0,0.0,0.36,0.0358,0.63,0.0626,0.0,0.0
175955.0,14.79,1.74,0.1178,0.84,0.0567,0.0,0.0,0.9,0.0612,0.0,0.0
210514.0,4.24,2.29,0.2286,1.11,0.1107,0.27,0.0271,0.91,0.0908,0.0,0.0
176384.0,2.8,2.29,0.2289,1.88,0.1883,0.0,0.0,0.41,0.0406,0.0,0.0
2953.0,3.86,2.57,0.2566,1.42,0.1425,0.0,0.0,1.14,0.1141,0.0,0.0
142241.0,3.97,3.02,0.3018,1.72,0.172,0.0,0.0,1.3,0.1298,0.0,0.0
210524.0,2.77,3.09,0.3093,2.82,0.2818,0.0,0.0,0.28,0.0276,0.0,0.0
2952.0,4.55,1.61,0.1609,0.82,0.0821,0.0,0.0,0.79,0.0789,0.0,0.0
