FTR_IDN,ORIG_FTR_IDN,SUB_IDN,SEGMENT_LENGTH,IS_SEMICIRCULAR,CNT_JNT
178121_4,178121,4,11.306144005394215,False,6
447922_1,447922,1,1.3822735597316762,False,3
447922_2,447922,2,9.67665903408737,False,4
447922_3,447922,3,3.997630318630995,False,3
450436_1,450436,1,13.272976122690967,False,3
450436_2,450436,2,0.7119917662092018,False,3
418132_1,418132,1,2.679247734686135,False,3
418132_2,418132,2,8.88235074380772,False,4
418132_3,418132,3,1.6814092950223078,False,3
418132_4,418132,4,2.808703984702778,False,3
418132_5,418132,5,11.148613018726484,False,4
418132_6,418132,6,3.078497666161924,False,4
250103_1,250103,1,7.822524317991289,False,2
177111_1,177111,1,2.558214846654932,False,4
177111_2,177111,2,11.438673553652553,False,3
107324_1,107324,1,1.765749147477161,False,3
107324_2,107324,2,9.6205261231478,False,4
107324_3,107324,3,8.997645983082132,False,4
107324_4,107324,4,8.36376413794165,False,3
107324_5,107324,5,1.4987489493699246,False,3
212291_1,212291,1,10.773863968037118,False,3
212291_2,212291,2,1.0707083231679797,False,2
212291_3,212291,3,1.4685571711175602,False,3
212291_4,212291,4,2.051561680234943,False,3
107315_1,107315,1,1.0408478750292975,False,3
107315_2,107315,2,10.395016917334356,False,3
107315_3,107315,3,17.403161403500956,False,4
107315_4,107315,4,1.3367321436762334,False,3
107315_5,107315,5,0.7708102592269553,False,2
107315_6,107315,6,0.5758185251097352,False,3
107315_7,107315,7,3.913360245181277,False,3
107315_8,107315,8,6.121809609182931,False,3
107315_9,107315,9,17.55213715577022,False,4
107315_10,107315,10,10.74975512704741,False,4
107315_11,107315,11,3.837848435284067,False,3
107315_12,107315,12,7.075331511766032,False,3
107315_13,107315,13,2.603725616975264,False,4
107315_14,107315,14,6.742410131746513,False,4
107315_15,107315,15,7.587846128853874,False,3
107315_16,107315,16,1.451418521880198,False,3
107315_17,107315,17,10.871556067090411,False,3
107315_18,107315,18,18.225953355948203,False,3
107315_19,107315,19,1.7580663982200015,False,3
107315_20,107315,20,7.250602054630327,False,3
107315_21,107315,21,3.756184018500348,False,4
107315_22,107315,22,2.7075292528125474,False,3
107315_23,107315,23,12.89582103929142,False,3
107315_24,107315,24,1.134739191378832,False,3
107315_25,107315,25,2.0186487795276062,False,2
107315_26,107315,26,7.840387555587787,False,3
107315_27,107315,27,5.768187122563014,False,4
107315_28,107315,28,6.295868599306761,False,3
107315_29,107315,29,17.60670874167225,False,2
107315_30,107315,30,9.09780292551233,False,3
107315_31,107315,31,6.984559434732458,False,4
107315_32,107315,32,5.067898140903573,False,4
107315_33,107315,33,6.002342473013576,False,3
107315_34,107315,34,0.9728495503540878,False,2
107315_35,107315,35,1.874525303529309,False,2
107315_36,107315,36,8.600813173455661,False,3
107315_37,107315,37,0.5932006640240121,False,3
107315_38,107315,38,12.149124915356245,False,3
107315_39,107315,39,2.3685349156738784,False,4
107315_40,107315,40,2.867652151545483,False,3
107315_41,107315,41,4.0131290752094815,False,2
107315_42,107315,42,13.768225195622076,False,2
107315_43,107315,43,2.0149021985330915,False,3
107315_44,107315,44,13.536621636817005,False,4
107315_45,107315,45,1.3187838549610105,False,3
107315_46,107315,46,3.1461919336353485,False,3
107315_47,107315,47,12.235614082788615,False,4
107315_48,107315,48,15.123746103279245,False,3
107315_49,107315,49,8.7194111854113,False,2
107315_50,107315,50,4.061673487039556,False,2
107315_51,107315,51,8.378593405261379,False,3
107315_52,107315,52,1.500167779412622,False,3
3675_1,3675,1,16.038619729114252,False,3
