FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
36993,4235265,연암공원로7길,2.0,4
36994,4235265,연암공원로7길,2.0,4
36995,4235265,연암공원로7길,2.0,4
36997,3145033,연암공원로,10.0,3
36999,3145033,연암공원로,10.0,3
37744,3145021,대학로,6.0,3
37745,3145029,산격로,14.0,3
37747,4235125,대구체육관로4길,2.0,4
37748,4235280,연암로4길,8.0,4
37750,,,,
37751,3145017,대구체육관로,30.0,3
37754,4235134,대동로8길,5.0,4
37756,4235142,대학로13길,5.0,4
37768,,,,
37770,4235255,연암공원로14길,5.0,4
37771,4235255,연암공원로14길,2.0,4
37780,4235262,연암공원로32길,3.0,4
37825,,,,
37826,,,,
37827,3145034,연암로,3.0,3
37828,4235235,산격로서9길,3.0,4
37829,,,,
37830,,,,
37831,,,,
37832,4235255,연암공원로14길,3.0,4
37841,3145029,산격로,14.0,3
37842,,,,
37848,4235280,연암로4길,8.0,4
37850,,,,
37859,3145021,대학로,4.0,3
37860,3145021,대학로,4.0,3
37862,3145018,대동로,6.0,3
37864,4235128,대동로10길,3.0,4
37865,4235128,대동로10길,3.0,4
37868,4235128,대동로10길,8.0,4
37869,,,,
37870,4235134,대동로8길,6.0,4
37871,,,,
37872,4235134,대동로8길,6.0,4
37873,4235134,대동로8길,4.0,4
37874,,,,
37875,,,,
37876,,,,
37878,4235227,산격로14길,6.0,4
37879,4235227,산격로14길,3.0,4
37880,4235227,산격로14길,6.0,4
37881,4235227,산격로14길,6.0,4
37882,4235227,산격로14길,6.0,4
37883,4235227,산격로14길,3.0,4
37884,,,,
37885,,,,
37886,,,,
37887,4235146,대학로25길,6.0,4
37888,4235224,산격로10길,2.0,4
37889,4235224,산격로10길,2.0,4
37890,4235128,대동로10길,8.0,4
37891,4235128,대동로10길,3.0,4
37893,4235142,대학로13길,5.0,4
37895,4235131,대동로4길,6.0,4
37896,,,,
37897,4235131,대동로4길,6.0,4
37898,4235131,대동로4길,6.0,4
37899,4235131,대동로4길,6.0,4
37900,4235131,대동로4길,3.0,4
37901,,,,
37902,4235133,대동로6길,6.0,4
37903,4235134,대동로8길,6.0,4
37904,4235131,대동로4길,4.0,4
37905,4235134,대동로8길,4.0,4
37906,4235134,대동로8길,5.0,4
37907,,,,
37908,,,,
37909,,,,
37910,,,,
37911,4235142,대학로13길,5.0,4
37912,4235134,대동로8길,6.0,4
37913,4235134,대동로8길,6.0,4
37914,4235134,대동로8길,6.0,4
37915,4235134,대동로8길,3.0,4
37916,,,,
37917,4235134,대동로8길,3.0,4
37918,,,,
37919,,,,
37920,,,,
37921,,,,
37923,,,,
37924,,,,
37925,,,,
37926,4235146,대학로25길,6.0,4
37928,,,,
37929,,,,
37930,,,,
37931,,,,
37932,,,,
37933,4235227,산격로14길,3.0,4
37934,4235146,대학로25길,6.0,4
37935,4235146,대학로25길,6.0,4
37937,4235224,산격로10길,8.0,4
37939,4235224,산격로10길,3.0,4
37942,,,,
37943,4235142,대학로13길,1.0,4
37945,4235142,대학로13길,1.0,4
37946,4235146,대학로25길,6.0,4
37947,,,,
37948,4235146,대학로25길,6.0,4
37949,,,,
37950,4235146,대학로25길,6.0,4
37952,4235146,대학로25길,4.0,4
37953,4235146,대학로25길,6.0,4
37954,4235146,대학로25길,4.0,4
37955,,,,
37956,4235146,대학로25길,2.0,4
37957,4235146,대학로25길,3.0,4
37958,4235146,대학로25길,3.0,4
37959,,,,
37960,4235142,대학로13길,5.0,4
37961,4235224,산격로10길,8.0,4
37962,4235224,산격로10길,8.0,4
37963,4235224,산격로10길,8.0,4
37964,,,,
37965,4235147,대학로9길,6.0,4
37966,4235147,대학로9길,6.0,4
37967,3145029,산격로,6.0,3
37968,4235147,대학로9길,6.0,4
37969,,,,
37970,4235227,산격로14길,5.0,4
37971,4235227,산격로14길,6.0,4
37972,4235227,산격로14길,6.0,4
37973,4235227,산격로14길,1.0,4
37974,4235227,산격로14길,6.0,4
37975,4235142,대학로13길,5.0,4
37976,,,,
37977,4235147,대학로9길,2.0,4
37978,4235147,대학로9길,4.0,4
37979,4235147,대학로9길,4.0,4
37980,4235147,대학로9길,4.0,4
37981,,,,
37983,,,,
37991,4235226,산격로13길,7.0,4
37992,4235226,산격로13길,4.0,4
37993,4235226,산격로13길,3.0,4
37994,,,,
37995,4235255,연암공원로14길,6.0,4
37996,4235255,연암공원로14길,6.0,4
37997,4235226,산격로13길,3.0,4
37998,,,,
37999,,,,
38000,4235225,산격로11길,5.0,4
38001,,,,
38002,4235225,산격로11길,4.0,4
38003,,,,
38004,4235234,산격로북9길,6.0,4
38005,4235225,산격로11길,2.0,4
38006,4235225,산격로11길,2.0,4
38007,4235234,산격로북9길,6.0,4
38008,4235255,연암공원로14길,6.0,4
38009,,,,
38011,4235234,산격로북9길,6.0,4
38012,,,,
38013,4235233,산격로9길,3.0,4
