FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
177128,3145029,산격로,6.0,3
177129,,,,
177131,,,,
177136,4235225,산격로11길,6.0,4
177138,4235235,산격로서9길,4.0,4
177181,3145034,연암로,25.0,3
177198,3145029,산격로,6.0,3
177202,4235128,대동로10길,8.0,4
177203,4235134,대동로8길,2.0,4
177221,4235227,산격로14길,6.0,4
177269,4235142,대학로13길,5.0,4
177326,4235134,대동로8길,6.0,4
177327,4235146,대학로25길,6.0,4
177329,4235224,산격로10길,8.0,4
177330,4235224,산격로10길,8.0,4
177436,4235255,연암공원로14길,5.0,4
177437,4235226,산격로13길,7.0,4
177614,4235228,산격로17길,6.0,4
177622,4235262,연암공원로32길,6.0,4
178121,4235145,대학로23길,5.0,4
178122,4235232,산격로8길,6.0,4
178123,4235231,산격로6길,6.0,4
178160,4235232,산격로8길,6.0,4
178164,3145029,산격로,14.0,3
178165,3145029,산격로,2.0,3
178191,,,,
178209,4235124,대구체육관로2길,6.0,4
178210,4235280,연암로4길,8.0,4
178211,3145021,대학로,35.0,3
178212,4235280,연암로4길,8.0,4
178213,4235272,연암로2길,6.0,4
178214,4235280,연암로4길,8.0,4
178215,3145034,연암로,25.0,3
178216,4235125,대구체육관로4길,5.0,4
178217,3145017,대구체육관로,30.0,3
178218,4235123,대구체육관로12길,7.0,4
178219,,,,
181569,3145021,대학로,35.0,3
186992,3145034,연암로,25.0,3
192893,,,,
193308,3145021,대학로,35.0,3
193326,4235267,연암로12길,4.0,4
193331,,,,
198939,3018037,호국로,40.0,3
199046,,,,
199088,3145017,대구체육관로,30.0,3
199089,4235147,대학로9길,6.0,4
199209,4235254,연암공원로13길,6.0,4
209417,,,,
209453,3145021,대학로,35.0,3
210305,,,,
210306,,,,
210307,,,,
210308,,,,
210313,4235251,연암공원로10길,6.0,4
210412,3145033,연암공원로,8.0,3
210422,4235266,연암공원로8길,6.0,4
210423,4235252,연암공원로11길,5.0,4
210425,4235252,연암공원로11길,5.0,4
210427,4235235,산격로서9길,3.0,4
210428,4235265,연암공원로7길,3.0,4
210459,4235266,연암공원로8길,6.0,4
210461,3145033,연암공원로,3.0,3
210462,3145034,연암로,25.0,3
210463,3145034,연암로,25.0,3
210515,3145033,연암공원로,10.0,3
210516,3145033,연암공원로,5.0,3
210518,4235254,연암공원로13길,3.0,4
210519,3145033,연암공원로,10.0,3
210520,4235225,산격로11길,6.0,4
210521,4235251,연암공원로10길,6.0,4
210523,3145033,연암공원로,10.0,3
210596,3145033,연암공원로,10.0,3
211225,4235143,대학로15길,5.0,4
211227,4235143,대학로15길,5.0,4
211230,4235147,대학로9길,6.0,4
211231,4235142,대학로13길,5.0,4
211232,4235142,대학로13길,5.0,4
211234,4235232,산격로8길,6.0,4
211236,4235232,산격로8길,6.0,4
211238,4235280,연암로4길,8.0,4
211240,4235230,산격로1길,6.0,4
211241,,,,
211242,,,,
211243,4235272,연암로2길,6.0,4
211244,4235280,연암로4길,8.0,4
211245,4235124,대구체육관로2길,6.0,4
211249,4235133,대동로6길,6.0,4
211250,3145018,대동로,10.0,3
211251,4235134,대동로8길,6.0,4
211252,4235225,산격로11길,2.0,4
211253,,,,
211282,4235272,연암로2길,6.0,4
211283,4235272,연암로2길,6.0,4
211323,,,,
211325,4235128,대동로10길,8.0,4
211326,4235131,대동로4길,6.0,4
211327,4235224,산격로10길,8.0,4
211328,3145021,대학로,35.0,3
211345,4235227,산격로14길,6.0,4
211403,,,,
211434,4235134,대동로8길,3.0,4
211435,3145018,대동로,10.0,3
211436,4235131,대동로4길,6.0,4
211437,4235146,대학로25길,2.0,4
211438,4235146,대학로25길,3.0,4
211439,4235146,대학로25길,6.0,4
211440,3145018,대동로,10.0,3
211441,,,,
211476,3145029,산격로,6.0,3
211477,3145017,대구체육관로,30.0,3
211478,4235234,산격로북9길,6.0,4
211479,4235234,산격로북9길,6.0,4
211480,4235225,산격로11길,6.0,4
211481,4235233,산격로9길,15.0,4
211482,4235226,산격로13길,7.0,4
211524,4235225,산격로11길,6.0,4
211525,4235235,산격로서9길,4.0,4
211526,4235235,산격로서9길,3.0,4
211527,4235235,산격로서9길,5.0,4
211529,4235226,산격로13길,5.0,4
211678,4235259,연암공원로20길,6.0,4
211679,4235259,연암공원로20길,6.0,4
211680,4235259,연암공원로20길,4.0,4
211681,4235259,연암공원로20길,6.0,4
212248,4235144,대학로17길,8.0,4
212249,4235143,대학로15길,5.0,4
212251,4235144,대학로17길,8.0,4
212290,4235233,산격로9길,15.0,4
212291,4235232,산격로8길,6.0,4
212292,,,,
212293,3145021,대학로,6.0,3
212338,4235124,대구체육관로2길,6.0,4
212339,4235280,연암로4길,8.0,4
212340,4235280,연암로4길,8.0,4
212341,4235280,연암로4길,8.0,4
212342,4235125,대구체육관로4길,5.0,4
212343,3145017,대구체육관로,13.0,3
212344,4235121,대구체육관로10길,6.0,4
212550,,,,
214924,,,,
214951,3145033,연암공원로,4.0,3
215002,,,,
215055,4235272,연암로2길,6.0,4
215096,4235147,대학로9길,6.0,4
220414,4235235,산격로서9길,6.0,4
220500,4235254,연암공원로13길,4.0,4
220520,4235235,산격로서9길,5.0,4
226116,,,,
238401,4235224,산격로10길,8.0,4
238579,4235232,산격로8길,6.0,4
243877,,,,
243882,4235235,산격로서9길,6.0,4
243988,,,,
243989,4235267,연암로12길,4.0,4
243990,4235252,연암공원로11길,5.0,4
243991,4235252,연암공원로11길,5.0,4
243992,3145033,연암공원로,5.0,3
243994,3145033,연암공원로,3.0,3
243995,4235235,산격로서9길,6.0,4
243996,4235225,산격로11길,3.0,4
243997,4235225,산격로11길,2.0,4
244001,3145033,연암공원로,3.0,3
244002,3145033,연암공원로,3.0,3
244038,3145033,연암공원로,10.0,3
244040,4235267,연암로12길,4.0,4
244041,4235267,연암로12길,8.0,4
244089,4235256,연암공원로15길,6.0,4
244090,3145033,연암공원로,10.0,3
244091,,,,
244092,4235251,연암공원로10길,6.0,4
244094,3145033,연암공원로,10.0,3
244343,4235147,대학로9길,6.0,4
244346,3145029,산격로,14.0,3
244567,4235233,산격로9길,15.0,4
245200,4235142,대학로13길,8.0,4
245201,4235144,대학로17길,8.0,4
245203,,,,
245204,4235145,대학로23길,7.0,4
245205,3145029,산격로,8.0,3
245206,3145021,대학로,6.0,3
245207,3145021,대학로,6.0,3
245208,3145021,대학로,6.0,3
245212,3145029,산격로,14.0,3
245215,4235121,대구체육관로10길,6.0,4
245216,4235272,연암로2길,6.0,4
245222,4235128,대동로10길,8.0,4
245223,,,,
245224,,,,
245226,,,,
245227,,,,
245228,4235224,산격로10길,8.0,4
245237,4235262,연암공원로32길,3.0,4
245240,3145034,연암로,3.0,3
245303,3145021,대학로,35.0,3
245304,3145021,대학로,35.0,3
245305,4235133,대동로6길,6.0,4
245306,4235128,대동로10길,8.0,4
245307,4235224,산격로10길,8.0,4
245327,4235227,산격로14길,3.0,4
245336,3145021,대학로,35.0,3
245337,,,,
245383,,,,
245384,4235146,대학로25길,3.0,4
245424,4235131,대동로4길,6.0,4
245425,4235142,대학로13길,5.0,4
245426,4235224,산격로10길,8.0,4
245427,4235224,산격로10길,8.0,4
245428,4235146,대학로25길,6.0,4
245429,4235146,대학로25길,6.0,4
245430,4235227,산격로14길,6.0,4
245431,4235255,연암공원로14길,6.0,4
