repair_id,복구타입,위도,경도,주소,작업일시,구군
109,지상누수,35.8957134,128.611724,북구 대동로 52-12 (산격동) / 1276-7번지,,북구
110,지상누수,35.8899151,128.601287,북구 연암로 18-25 (산격동) / 1441-59번지,,북구
111,지상누수,35.8950204,128.6087327,북구 산격로10길 31 (산격동) / 1312-8번지,,북구
112,지상누수,35.8953002,128.6077841,북구 대학로13길 40 (산격동) / 1312-23번지,,북구
113,지상누수,35.8964062,128.6085155,북구 대동로8길 21-4 (산격동) / 1249-11번지,,북구
114,지상누수,35.8941286,128.6087402,북구 산격동 1314-22,,북구
115,지상누수,35.8976136,128.6049804,북구 연암공원로32길 60 (산격동) / 1197-103번지,,북구
116,지상누수,35.8912066,128.6040328,북구 산격로1길 22 (산격동) / 1490-25번지,,북구
117,지상누수,35.895108,128.6111366,북구 대동로10길 16-1 (산격동) / 1307-80번지,,북구
118,지상누수,35.8955536,128.6113662,북구 대학로25길 10 (산격동) / 1304-6번지,,북구
119,지상누수,35.8929963,128.6041747,북구 대구체육관로9길 8-1 (산격동) / 1430-44번지,,북구
120,지상누수,35.8951425,128.6102863,북구 산격로10길 45-1 (산격동) / 1307-65번지,,북구
121,지상누수,35.8929568,128.5974565,북구 연암공원로 22-6 (산격동) / 1075-1번지,,북구
122,지상누수,35.8948223,128.6031508,북구 산격로9길 17-2 (산격동) / 1428-7번지,,북구
123,지상누수,35.8950854,128.6088372,북구 산격로10길 33 (산격동) / 1312-62번지,,북구
124,지상누수,35.8966487,128.6079187,북구 대동로8길 28 (산격동) / 1251-5번지,,북구
125,지상누수,35.8900177,128.6000401,북구 산격동 1457-2,,북구
126,지상누수,35.8921902,128.5974082,북구 연암로12길 12-4 (산격동) / 1082-1번지,,북구
127,지상누수,35.8954748,128.604678,북구 연암공원로14길 51 (산격동) / 1422-10번지,,북구
128,지상누수,35.8935192,128.5982447,북구 연암공원로8길 18-1 (산격동) / 1102-6번지,,북구
129,지상누수,35.8971881,128.5999924,북구 연암공원로13길 2-10 (산격동) / 1180-130번지,,북구
130,지상누수,35.8946241,128.6021673,북구 연암공원로10길 33-3 (산격동) / 1437-132번지,,북구
131,지상누수,35.892652,128.6068654,북구 산격로6길 15 (산격동) / 1412-14번지,,북구
132,지상누수,35.8923529,128.5980818,북구 연암공원로 22-53 (산격동) / 1097-2번지,,북구
133,지상누수,35.893374,128.5992472,북구 연암공원로8길 13-10 (산격동) / 1107-10번지,,북구
134,지상누수,35.8963622,128.6108785,북구 산격동 1268-7,,북구
135,지상누수,35.897053,128.6060654,북구 산격로 82-13 (산격동) / 1231-21번지,,북구
136,지상누수,35.895344,128.6100321,북구 대학로25길 21-1 (산격동) / 1307-49번지,,북구
137,지상누수,35.8956355,128.6073607,북구 대학로25길 46-1 (산격동) / 1406-31번지,,북구
