wkt_geom,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,GIS_IDN,FTC_CDE,CLS_YMD,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,FNS_YMD,WTP_CDE,RMK_TXT,BEG_YMD,PIP_TYPE,PIP_TYPE_VALID
"MultiLineString ((1099807.90568128996528685 1767826.11955997999757528, 1099779.76826052996329963 1767840.19131032004952431, 1099747.58240014989860356 1767853.22467351006343961, 1099715.7640431800391525 1767862.01728689996525645, 1099684.81177056999877095 1767866.99078917992301285, 1099660.05614795000292361 1767867.64549974002875388, 1099641.38003603997640312 1767866.56213715998455882, 1099639.88258798001334071 1767866.47432168992236257, 1099639.88258840003982186 1767866.4742936200927943, 1099639.15054644993506372 1767866.43090873002074659, 1099638.56374009000137448 1767866.39615473989397287, 1099637.69352997001260519 1767866.34461243008263409, 1099636.99301441991701722 1767866.30311530991457403, 1099636.30868307990022004 1767866.26256854995153844, 1099633.65833664010278881 1767866.10553506994619966, 1099621.89000956993550062 1767865.41041003004647791, 1099600.12219497002661228 1767863.28353314008563757, 1099599.09795655007474124 1767863.18349998001940548, 1099598.90428297990001738 1767863.16455206996761262, 1099598.73256863001734018 1767863.38844607002101839, 1099598.65948794991709292 1767863.4837587799411267, 1099598.30854505999013782 1767863.68042019009590149, 1099597.90896807005628943 1767863.72229182999581099, 1099597.52485659997910261 1767863.60347974998876452, 1099597.423154880059883 1767863.51682536001317203, 1099597.21889211004599929 1767863.3428015299141407, 1099597.04040263989008963 1767862.9821994099766016, 1099595.39113217010162771 1767862.82108132005669177, 1099577.39615736994892359 1767861.06319569004699588, 1099553.39810177008621395 1767858.71897599007934332, 1099508.13355034007690847 1767854.29608929995447397))",SA001,198939,2723061000,35803035,54000,1986-01-01,SA003,12,700,309.0,,0,0,20119006912.0,1,700-ST-86,IQT903,198939,SA003,,B,240,520,P0,1.2,1986-01-01,SS00201,,1986-01-01,ST,True
"MultiLineString ((1099879.4466552899684757 1767786.48469440010376275, 1099872.21003636997193098 1767790.61071092006750405, 1099872.19496904988773167 1767791.01241796999238431, 1099872.02244919002987444 1767791.37470567994751036, 1099871.81217215000651777 1767791.5594619601033628, 1099871.72050807997584343 1767791.6400312299374491, 1099871.3376473099924624 1767791.76520318002440035, 1099870.93822777993045747 1767791.72914338996633887, 1099870.58425872004590929 1767791.53777309996075928, 1099870.09807551000267267 1767791.81531756999902427, 1099868.88983112992718816 1767792.50378694990649819, 1099867.47475220006890595 1767793.31005232990719378, 1099812.37092670006677508 1767823.88597937999293208, 1099807.90568128996528685 1767826.11955997999757528))",SA001,4149,2723063100,35803035,54000,1986-01-01,SA003,12,700,83.0,,0,0,20119006912.0,1,700-ST-86,IQT903,4149,SA003,,B,210,521,P0,1.2,1986-01-01,SS00201,,1986-01-01,ST,True
"MultiLineString ((1099595.17654818994924426 1767874.59153558989055455, 1099598.73256863001734018 1767863.38844607002101839, 1099600.73577335011214018 1767857.20652826991863549))",SA001,175747,2723061000,35803035,54000,1979-01-01,SA002,12,800,18.26,,0,0,20119006912.0,1,800-ST-79,IQT903,175747,SA002,,B,60,515,P0,1.2,1979-01-01,SS00201,,1979-01-01,ST,True
"MultiLineString ((1099736.62334166001528502 1767783.88906507007777691, 1099736.66139389993622899 1767782.77476702001877129, 1099736.69568541995249689 1767781.7700970999430865, 1099736.98323371005244553 1767781.46027768007479608, 1099739.6326796798966825 1767781.5955671900883317))",SA001,427780,2723061000,35803035,54000,1994-01-01,SA003,4,400,5.2,,0,0,20129000952.0,1,400-DTC-94,IQT903,427780,SA003,,B,240,520,P0,1.2,1994-01-01,SS00201,,1994-01-01,DTC,True
"MultiLineString ((1099735.16836211993359029 1767783.77977958996780217, 1099735.08880450995638967 1767784.89666890003718436, 1099734.99746144004166126 1767786.1795764600392431, 1099733.85755879990756512 1767786.0684470001142472, 1099731.40014103008434176 1767785.82889050990343094))",SA001,427781,2723061000,35803035,54000,2011-12-26,SA003,4,500,6.02,,0,0,20129000952.0,1,500-DTC-11,IQT903,427781,SA003,,B,240,520,P0,2.0,2011-12-26,SS00201,,2011-12-26,DTC,True
"MultiLineString ((1099597.12296359008178115 1767856.84448639000765979, 1099595.39113217010162771 1767862.82108132005669177))",SA001,415362,2723061000,35803035,54000,1986-01-01,SA003,12,700,6.22,,0,0,20119006912.0,1,700-ST-86,IQT903,415362,SA003,,B,240,520,P0,1.2,1986-01-01,SS00201,,1986-01-01,ST,True
"MultiLineString ((1099600.25761902006343007 1767854.39772040001116693, 1099598.76626666006632149 1767854.242031010100618, 1099597.90277009992860258 1767854.15184946008957922, 1099597.12296359008178115 1767856.84448639000765979))",SA001,415363,2723061000,35803035,54000,1979-01-01,SA003,12,500,5.17,,0,0,20119006912.0,1,500-ST-79,IQT903,415363,SA003,,B,240,520,P0,1.2,1979-01-01,SS00201,,1979-01-01,ST,True
"MultiLineString ((1099732.97663618996739388 1767772.97731727990321815, 1099732.44852677988819778 1767777.52143885008990765, 1099732.02718122000806034 1767780.85708970995619893, 1099731.79244093992747366 1767782.71559047000482678, 1099732.1046057699713856 1767782.96923307003453374, 1099732.29111438989639282 1767783.3250173800624907, 1099732.31019559991545975 1767783.56514817010611296, 1099732.32299156999215484 1767783.72643435001373291, 1099732.19323780992999673 1767784.10641956003382802, 1099731.9237133099231869 1767784.40525796008296311, 1099731.55820020008832216 1767784.57263904996216297, 1099731.34322522999718785 1767786.28113406989723444, 1099729.48014459991827607 1767786.08503774995915592, 1099691.08389809005893767 1767782.04543781001120806, 1099687.06559111992828548 1767781.62256646994501352, 1099659.31125785992480814 1767778.70228893007151783, 1099627.21864164993166924 1767775.32556405011564493, 1099625.35399462003260851 1767775.12913499004207551, 1099625.11598314996808767 1767776.27183362003415823, 1099624.87027063989080489 1767777.45166844991035759, 1099623.80079742008820176 1767782.58700043009594083, 1099623.36693000001832843 1767784.67020896007306874, 1099619.64554525003768504 1767808.62926926999352872, 1099617.99526678002439439 1767811.3788670499343425, 1099609.95113988011144102 1767824.78166538989171386, 1099602.82507654000073671 1767846.5489149100612849, 1099601.85360126011073589 1767849.51623453991487622, 1099600.72226632991805673 1767852.9720889599993825, 1099600.25761902006343007 1767854.39772040001116693, 1099599.79297041008248925 1767855.82343604997731745, 1099599.40698811993934214 1767857.07528896001167595))",SA001,415364,2723061000,35803035,54000,1986-01-01,SA003,12,500,207.38,,0,0,20119006912.0,1,500-ST-86,IQT903,415364,SA003,,B,240,520,P0,1.2,1986-01-01,SS00201,,1986-01-01,ST,True
"MultiLineString ((1099641.38003603997640312 1767866.56213715998455882, 1099641.17935974011197686 1767868.0487843700684607, 1099640.19505188008770347 1767879.25149690988473594, 1099638.05877293995581567 1767880.23166853003203869, 1099637.86742553999647498 1767886.22666734992526472, 1099639.83686439995653927 1767887.22453959006816149, 1099639.75653535011224449 1767889.74285181006416678, 1099639.61599646997638047 1767894.15297288005240262, 1099639.56207639002241194 1767895.84541123989038169, 1099628.17366442992351949 1767904.30782435997389257, 1099618.77207972994074225 1767931.03674873011186719, 1099617.58277900004759431 1767934.41709184995852411))",SA001,418174,2723062000,35803035,54000,1996-01-01,SA003,4,500,78.06,,0,0,20119006912.0,1,500-DTC-96,IQT903,418174,SA003,,B,240,520,P0,1.2,1996-01-01,SS00201,,1996-01-01,DTC,True
"MultiLineString ((1099496.49915827997028828 1767554.57516411994583905, 1099500.37870893999934196 1767555.8710017700213939, 1099500.37873701006174088 1767555.87100220005959272, 1099501.79497182997874916 1767556.36253909999504685, 1099504.18223876995034516 1767560.54574614996090531, 1099508.18035232997499406 1767567.55178136005997658, 1099517.74048737995326519 1767570.97784823994152248, 1099519.69646547990851104 1767571.67854274995625019, 1099520.68585095996968448 1767572.03357088007032871))",SA001,210305,2723063100,35803045,54000,1989-01-01,SA005,12,400,31.0,,0,0,20119006912.0,1,400-ST-89,IQT903,210305,SA005,,B,243,520,P0,1.2,1989-01-01,SS00201,,1989-01-01,ST,True
"MultiLineString ((1099491.73452308005653322 1767544.69727682997472584, 1099490.4218837299849838 1767544.22939682006835938, 1099489.46520608011633158 1767543.88890806003473699))",SA001,308843,2723063100,35803045,54000,2004-12-01,SA005,4,200,2.0,,0,0,2004540000000.0,1,200-DTC-04,IQT903,308843,SA005,,B,243,520,P0,1.3,2004-12-01,SS00201,,2004-12-01,DTC,True
