CLUSTER_ID,REPAIR_COUNT,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
113.0,2.0,4,PIPE_LM,22.34119923564854,2.774193548387097,2,11.227748875039087,31,16,False
114.0,3.0,4,PIPE_LM,19.876392585989734,2.764705882352941,1,9.556393529260594,34,19,False
115.0,2.0,4,PIPE_LM,17.367211782261474,2.4210526315789473,3,6.2192134187658885,38,13,False
116.0,2.0,4,PIPE_LM,26.801484924575522,2.80327868852459,2,6.6300738757237045,61,32,False
117.0,2.0,4,PIPE_LM,23.61156454697105,2.6052631578947367,3,7.147476561483139,38,22,False
118.0,2.0,4,PIPE_LM,25.679322114409537,2.911764705882353,2,2.534950034611794,34,17,False
119.0,3.0,4,PIPE_LM,14.958175531753962,2.5483870967741935,4,6.727800974583282,31,16,False
120.0,2.0,5,PIPE_LM,17.648572006189852,2.8421052631578947,3,7.011850279860282,38,21,False
121.0,2.0,4,PIPE_LM,22.90511890463034,2.6904761904761907,1,9.964890355243199,42,23,False
122.0,2.0,4,PIPE_LM,13.669994659739386,2.6875,2,11.54043037389343,32,18,False
123.0,2.0,4,PIPE_LM,26.72732352899825,2.8222222222222224,2,6.835812283093419,45,27,False
124.0,2.0,4,PIPE_LM,25.73806617727658,2.925,1,7.249292898718988,40,23,False
125.0,3.0,4,PIPE_LM,23.266183196748194,2.6444444444444444,1,9.22089431721172,45,24,False
126.0,2.0,4,PIPE_LM,21.987561305902627,2.9130434782608696,4,7.506273363632416,23,11,False
127.0,2.0,4,PIPE_LM,26.211845201735066,2.864864864864865,2,5.710390459727396,37,21,False
128.0,2.0,4,PIPE_LM,28.148667944434546,2.7333333333333334,4,7.763947033413341,45,24,False
129.0,2.0,4,PIPE_LM,18.251721492600115,2.591549295774648,4,3.2967534542455468,71,36,False
130.0,2.0,4,PIPE_LM,25.18960059078792,2.6944444444444446,4,8.783975381492196,36,18,False
131.0,4.0,4,PIPE_LM,14.305345864112507,2.610169491525424,2,8.049269817938805,59,33,True
132.0,2.0,5,PIPE_LM,24.575925830140743,2.8181818181818183,3,7.414988612452953,44,29,False
133.0,3.0,4,PIPE_LM,20.191892491883554,2.7857142857142856,2,5.231161534807587,42,24,False
134.0,3.0,4,PIPE_LM,24.67916499520284,2.5555555555555554,2,7.090213909261353,27,13,False
135.0,2.0,4,PIPE_LM,22.174965607667517,2.7454545454545456,2,4.486046916923699,55,29,False
136.0,2.0,4,PIPE_LM,13.657954254648034,2.5789473684210527,2,5.209349436096676,38,16,False
137.0,2.0,4,PIPE_LM,27.34732577714548,2.74468085106383,2,7.62099407880206,47,29,False
138.0,2.0,4,PIPE_LM,28.529324582826085,2.4324324324324325,1,11.98808022465768,37,17,False
139.0,4.0,4,PIPE_LM,26.748285543962933,2.511111111111111,2,3.7248807664985946,45,21,True
140.0,3.0,4,PIPE_LM,18.10556222532922,2.659090909090909,3,2.8977928331975016,44,26,False
141.0,3.0,4,PIPE_LM,10.230038460943158,2.5686274509803924,1,5.51786675291204,51,25,False
142.0,2.0,4,PIPE_LM,14.459897803684136,2.9130434782608696,2,7.7779730175648405,46,30,False
143.0,3.0,5,PIPE_LM,17.639809917728417,2.8333333333333335,2,7.20170717752503,30,16,False
144.0,3.0,4,PIPE_LM,23.10170157294494,2.7,2,8.776648624108939,50,27,False
145.0,2.0,4,PIPE_LM,22.20013434061072,2.58974358974359,2,5.837178658560439,39,21,False
146.0,2.0,4,PIPE_LM,12.200076103033975,2.4642857142857144,2,7.7890045891275825,28,12,False
147.0,3.0,4,PIPE_LM,23.964340096948003,2.6666666666666665,2,11.327747546733468,18,10,False
148.0,2.0,4,PIPE_LM,27.990872699065044,2.462962962962963,2,8.990562232367395,54,20,False
149.0,4.0,4,PIPE_LM,29.276673684906548,2.619047619047619,2,4.638066828102575,42,23,True
150.0,2.0,4,PIPE_LM,26.818882751061416,2.5737704918032787,1,7.276689887214294,61,29,False
151.0,2.0,4,PIPE_LM,22.58477230684944,2.727272727272727,2,10.614545935353503,22,12,False
152.0,2.0,2,SPLY_LS,20.098036525860593,1.5,1,15.246369160660603,2,0,False
153.0,2.0,4,PIPE_LM,21.125138835383755,2.6774193548387095,3,5.52927877479354,31,17,False
154.0,2.0,3,PIPE_LM,25.504099459427007,2.25,2,19.380417365671374,16,6,False
155.0,2.0,4,PIPE_LM,27.580943115404438,2.9705882352941178,4,5.3353013283348725,34,19,False
156.0,2.0,4,PIPE_LM,17.569869409614185,2.4242424242424243,2,6.630072016738646,33,14,False
157.0,3.0,5,PIPE_LM,9.438105251647018,2.717391304347826,2,6.643717891494081,46,22,False
158.0,2.0,4,PIPE_LM,18.928467435577627,2.603448275862069,1,7.915422569215086,58,27,False
159.0,2.0,4,PIPE_LM,27.937423660164868,2.857142857142857,4,6.327082557542708,42,23,False
160.0,2.0,4,PIPE_LM,28.871534300607212,2.760869565217391,2,6.663203591231944,46,30,False
161.0,2.0,4,PIPE_LM,23.770113336324656,3.0217391304347827,2,7.084533761008759,46,27,False
162.0,2.0,4,PIPE_LM,29.46549025126099,2.65,1,10.279749435351352,40,24,False
163.0,2.0,4,PIPE_LM,25.54003658940303,2.9210526315789473,3,5.51774229548533,38,24,False
164.0,2.0,4,PIPE_LM,26.978377376375196,2.6052631578947367,2,6.532826367560246,38,16,False
165.0,2.0,4,PIPE_LM,23.647222948452445,2.6153846153846154,1,6.932808026182026,52,28,False
166.0,2.0,4,PIPE_LM,27.29844857416844,2.948717948717949,3,5.72642095000166,39,22,False
167.0,2.0,4,PIPE_LM,26.39243522444352,2.6666666666666665,2,17.529608926333292,45,23,False
168.0,2.0,5,PIPE_LM,27.029808463584008,2.810810810810811,1,6.768476107955635,37,22,False
169.0,2.0,4,PIPE_LM,9.205184208072861,2.8444444444444446,2,7.654984637296462,45,27,False
170.0,2.0,4,PIPE_LM,21.98144940633252,2.9565217391304346,2,5.727448787604554,46,26,False
171.0,2.0,4,PIPE_LM,17.07646681084642,2.8043478260869565,2,7.231024935556253,46,28,False
172.0,2.0,4,PIPE_LM,23.494160251623658,2.8,2,4.3826403138399765,55,30,False
173.0,2.0,4,PIPE_LM,24.834968771176612,2.8444444444444446,2,5.577436251252771,45,26,False
174.0,2.0,4,PIPE_LM,26.708096881419152,2.5172413793103448,2,7.57725727195071,29,13,False
