긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호 ,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분명,시공년도,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,손괴원인,손괴원인코드명,누수부위형태코드,누수부위형태코드명,파열상태,파열상태명,측정수압,누수시간,시간당 누수량,누수량,살수량,총공사비,과수압여부,위도,경도,작업일시
201403978,54000,북부사업소,,,5.0,급수관,201407020109.0,201407021035.0,201407021035.0,201407021320.0,D80*15mm 분기점 수선,B,북구,북구 대학로9길 68-10 (산격동) / 1245-7번지,520.0,480.0,686.0,20149008992,북구 대학로9길 68-10 (산격동) / 1245-7번지,G,지상누수,1.0,공도,,1.0,15.0,2.0,닥타일관,201.0,이형관,1.0,노후,,,2.0,반도,6.0,1/10,3.0,3.0,0.0,0.0,,"178,750",N,35.8964762,128.606353,2014-07-02 10:35:00
201404486,54000,북부사업소,,,5.0,급수관,201408130211.0,201408131531.0,201408131531.0,201408131755.0,D40*15mm 분기점 수선,B,북구,북구 대동로10길 5-7 (산격동) / 1275-8번지,520.0,490.0,823.0,20149009974,북구 대동로10길 5-7 (산격동) / 1275-8번지,G,지상누수,1.0,공도,,1.0,15.0,5.0,PFP관,201.0,이형관,1.0,노후,,,1.0,소켓,6.0,1/10,3.0,2.0,0.0,0.0,,"131,990",N,35.8962384,128.6117154,2014-08-13 15:31:00
201404017,54000,북부사업소,,,5.0,급수관,201407220204.0,201407221250.0,201407221250.0,201407221515.0,D200*15mm 분기점 수선,B,북구,"북구 산격로 88-1 (산격동,얼음막걸리) / 1232-5번지",520.0,480.0,750.0,20149009031,"북구 산격로 88-1 (산격동,얼음막걸리) / 1232-5번지",G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,4.0,직관,6.0,1/10,3.0,3.0,0.0,1.0,,"131,860",N,35.8980051,128.6067201,2014-07-22 12:50:00
201403994,54000,북부사업소,,,5.0,급수관,201407120015.0,201407121457.0,201407121457.0,201407121730.0,D200*25mm 분기점 폐쇄(구관),B,북구,"북구 산격로 74 (산격동,꽃돈) / 1229-1번지",520.0,480.0,718.0,20149009008,"북구 산격로 74 (산격동,꽃돈) / 1229-1번지",G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,4.0,직관,6.0,1/10,3.0,3.0,0.0,1.0,0.0,"588,560",N,35.8969784,128.6055193,2014-07-12 14:57:00
201404015,54000,북부사업소,,,5.0,급수관,201407150129.0,201407151143.0,201407151143.0,201407151420.0, D80*15mm 분기점 폐쇄(구관),B,북구,북구 대학로9길 68-4 (산격동) / 1245-2번지,520.0,480.0,726.0,20149009029,북구 대학로9길 68-4 (산격동) / 1245-2번지,G,지상누수,1.0,공도,,7.0,80.0,2.0,닥타일관,101.0,직관,1.0,노후,,,4.0,직관,6.0,1/10,3.0,3.0,9.0,26.0,,"73,700",N,35.8966922,128.6062421,2014-07-15 11:43:00
201403326,54000,북부사업소,,,5.0,급수관,201406290011.0,201406291310.0,201406291310.0,201406291620.0,D40*15mm 분기점 수선,B,북구,북구 산격로1길 28 (산격동) / 1497-38번지,520.0,470.0,670.0,20149007572,북구 산격로1길 28 (산격동) / 1497-38번지,G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,1.0,소켓,6.0,1/10,3.0,3.0,0.0,0.0,0.0,"64,170",N,35.8912052,128.6036036,2014-06-29 13:10:00
201403324,54000,북부사업소,,,5.0,급수관,201406260128.0,201406261021.0,201406261021.0,201406261335.0, D80*15mm 분기점 수선,B,북구,북구 대동로4길 6-8 (산격동) / 1241-20번지,520.0,480.0,662.0,20149007569,북구 대동로4길 6-8 (산격동) / 1241-20번지,G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,2.0,반도,6.0,1/10,3.0,3.0,0.0,0.0,,"121,390",N,35.8974615,128.607512,2014-06-26 10:21:00
201405785,54000,북부사업소,,,5.0,급수관,201410150101.0,201410151032.0,201410151032.0,201410151300.0,D25mm 계량기보호통 교체,B,북구,"북구 산격로9길 19 (산격동,태원유통) / 1428-12번지",520.0,470.0,1003.0,20149013299,"북구 산격로9길 19 (산격동,태원유통) / 1428-12번지",G,지상누수,2.0,사유지,,3.0,25.0,12.0,계량기보호통(실),601.0,계량기보호통,1.0,노후,,,,,,,,,,,,"635,920",N,35.8948172,128.6029839,2014-10-15 10:32:00
201500642,54000,북부사업소,,,5.0,급수관,201501120058.0,201501120953.0,201501120953.0,201501121230.0,D=25*15mm 분기점 수선,B,북구,북구 연암로4길 42-11 (산격동) / 1498-90번지,520.0,470.0,30.0,20159001516,북구 연암로4길 42-11 (산격동) / 1498-90번지,G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,1.0,소켓,5.0,1/7,3.0,3.0,0.0,0.0,,"297,530",N,35.8901949,128.6037756,2015-01-12 09:53:00
201502368,54000,북부사업소,,,5.0,급수관,201505220052.0,201505220934.0,,201505260858.0,D13mm 계량기고무패킹 교체,B,북구,북구 산격로13길 24-6 (산격동) / 1187-4번지,520.0,243.0,287.0,20159006253,북구 산격로13길 24-6 (산격동) / 1187-4번지,G,지상누수,2.0,사유지,,1.0,15.0,12.0,계량기보호통(실),602.0,연결부,2.0,부식,,,,,,,,,,,,"55,590",N,35.89738,128.6030015,2015-05-22 09:34:00
