FTR_IDN,lithoidx,lithoname,K_SOIL
3972,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3973,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3977,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3978,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3979,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3980,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3981,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3982,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3983,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3984,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3985,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3986,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3987,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3988,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3990,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3991,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3992,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3993,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3994,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3995,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3996,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3997,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3998,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3999,Km6,하양층군함안층,1.0
4000,Km6,하양층군함안층,1.0
4001,Km6,하양층군함안층,1.0
4002,Km6,하양층군함안층,1.0
4003,Km6,하양층군함안층,1.0
4004,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4005,Km6,하양층군함안층,1.0
4006,Km6,하양층군함안층,1.0
4122,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4123,Km6,하양층군함안층,1.0
4124,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4137,Km6,하양층군함안층,1.0
4138,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4139,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4140,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4141,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4143,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4144,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4145,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4146,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4147,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4148,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4688,Km6,하양층군함안층,1.0
4689,Km6,하양층군함안층,1.0
4691,Km6,하양층군함안층,1.0
4698,Km6,하양층군함안층,1.0
4699,Km6,하양층군함안층,1.0
4700,Km6,하양층군함안층,1.0
4701,Km6,하양층군함안층,1.0
4702,Km6,하양층군함안층,1.0
4703,Km6,하양층군함안층,1.0
4704,Km6,하양층군함안층,1.0
4705,Km6,하양층군함안층,1.0
4706,Km6,하양층군함안층,1.0
4708,Km6,하양층군함안층,1.0
4709,Km6,하양층군함안층,1.0
4710,Km6,하양층군함안층,1.0
4712,Km6,하양층군함안층,1.0
4713,Km6,하양층군함안층,1.0
4714,Km6,하양층군함안층,1.0
4715,Km6,하양층군함안층,1.0
4716,Km6,하양층군함안층,1.0
4717,Km6,하양층군함안층,1.0
4718,Km6,하양층군함안층,1.0
4719,Km6,하양층군함안층,1.0
4720,Km6,하양층군함안층,1.0
4721,Km6,하양층군함안층,1.0
4722,Km6,하양층군함안층,1.0
4723,Km6,하양층군함안층,1.0
4724,Km6,하양층군함안층,1.0
4725,Km6,하양층군함안층,1.0
4726,Km6,하양층군함안층,1.0
4727,Km6,하양층군함안층,1.0
4729,Km6,하양층군함안층,1.0
4730,Km6,하양층군함안층,1.0
4731,Km6,하양층군함안층,1.0
4732,Km6,하양층군함안층,1.0
4733,Km6,하양층군함안층,1.0
4734,Km6,하양층군함안층,1.0
4735,Km6,하양층군함안층,1.0
4739,Km6,하양층군함안층,1.0
4740,Km6,하양층군함안층,1.0
4741,Km6,하양층군함안층,1.0
4742,Km6,하양층군함안층,1.0
4743,Km6,하양층군함안층,1.0
4744,Km6,하양층군함안층,1.0
4746,Km6,하양층군함안층,1.0
4748,Km6,하양층군함안층,1.0
4749,Km6,하양층군함안층,1.0
4750,Km6,하양층군함안층,1.0
4751,Km6,하양층군함안층,1.0
4752,Km6,하양층군함안층,1.0
4753,Km6,하양층군함안층,1.0
4754,Km6,하양층군함안층,1.0
4755,Km6,하양층군함안층,1.0
4756,Km6,하양층군함안층,1.0
4757,Km6,하양층군함안층,1.0
4758,Km6,하양층군함안층,1.0
4759,Km6,하양층군함안층,1.0
4760,Km6,하양층군함안층,1.0
4761,Km6,하양층군함안층,1.0
4762,Km6,하양층군함안층,1.0
4763,Km6,하양층군함안층,1.0
4764,Km6,하양층군함안층,1.0
4765,Km6,하양층군함안층,1.0
4766,Km6,하양층군함안층,1.0
4767,Km6,하양층군함안층,1.0
4769,Km6,하양층군함안층,1.0
4770,Km6,하양층군함안층,1.0
4771,Km6,하양층군함안층,1.0
4773,Km6,하양층군함안층,1.0
4775,Km6,하양층군함안층,1.0
4776,Km6,하양층군함안층,1.0
4778,Km6,하양층군함안층,1.0
4779,Km6,하양층군함안층,1.0
4780,Km6,하양층군함안층,1.0
4781,Km6,하양층군함안층,1.0
4782,Km6,하양층군함안층,1.0
4783,Km6,하양층군함안층,1.0
4784,Km6,하양층군함안층,1.0
4785,Km6,하양층군함안층,1.0
4791,Km6,하양층군함안층,1.0
4792,Km6,하양층군함안층,1.0
4794,Km6,하양층군함안층,1.0
4795,Km6,하양층군함안층,1.0
4796,Km6,하양층군함안층,1.0
4797,Km6,하양층군함안층,1.0
4799,Km6,하양층군함안층,1.0
4800,Km6,하양층군함안층,1.0
4801,Km6,하양층군함안층,1.0
4803,Km6,하양층군함안층,1.0
4804,Km6,하양층군함안층,1.0
4805,Km6,하양층군함안층,1.0
4808,Km6,하양층군함안층,1.0
4809,Km6,하양층군함안층,1.0
4810,Km6,하양층군함안층,1.0
4811,Km6,하양층군함안층,1.0
4812,Km6,하양층군함안층,1.0
4813,Km6,하양층군함안층,1.0
4814,Km6,하양층군함안층,1.0
4815,Km6,하양층군함안층,1.0
4816,Km6,하양층군함안층,1.0
4817,Km6,하양층군함안층,1.0
4818,Km6,하양층군함안층,1.0
4819,Km6,하양층군함안층,1.0
4820,Km6,하양층군함안층,1.0
4821,Km6,하양층군함안층,1.0
4822,Km6,하양층군함안층,1.0
4823,Km6,하양층군함안층,1.0
4824,Km6,하양층군함안층,1.0
4825,Km6,하양층군함안층,1.0
4826,Km6,하양층군함안층,1.0
4827,Km6,하양층군함안층,1.0
4828,Km6,하양층군함안층,1.0
4984,Km6,하양층군함안층,1.0
7300,Km6,하양층군함안층,1.0
7361,Km6,하양층군함안층,1.0
7396,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
18482,Qa,충적층,1.3
24494,Km6,하양층군함안층,1.0
24699,Km6,하양층군함안층,1.0
24718,Km6,하양층군함안층,1.0
24836,Km6,하양층군함안층,1.0
24848,Qa,충적층,1.3
30752,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36403,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36406,Qa,충적층,1.3
36407,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36410,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36420,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36421,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36423,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36424,Qa,충적층,1.3
36425,Qa,충적층,1.3
36426,Qa,충적층,1.3
36427,Qa,충적층,1.3
36428,Qa,충적층,1.3
36429,Qa,충적층,1.3
36430,Qa,충적층,1.3
36431,Qa,충적층,1.3
36432,Qa,충적층,1.3
36433,Qa,충적층,1.3
36434,Qa,충적층,1.3
36435,Qa,충적층,1.3
36436,Qa,충적층,1.3
36437,Qa,충적층,1.3
36438,Qa,충적층,1.3
36439,Qa,충적층,1.3
36440,Qa,충적층,1.3
36441,Qa,충적층,1.3
36442,Qa,충적층,1.3
36443,Qa,충적층,1.3
36444,Qa,충적층,1.3
36445,Qa,충적층,1.3
36446,Qa,충적층,1.3
36447,Qa,충적층,1.3
36448,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36449,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36450,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36451,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36452,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36453,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36454,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36461,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36462,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36464,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36465,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36466,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36467,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36468,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36469,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36470,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36471,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36472,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36473,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
