cluster_id,repair_count,avg_lat,avg_lon,nearest_d_final,nearest_pipe,nearest_type,nearest_dist,max_d_final,max_d_pipe,avg_d_final,pipe_count,d_final_quartile
70,1,35.8946232,128.6089947,0.0092277085817665,215085,SPLY_LS,8.689152450464588,0.012615583318517,443322,0.008663223331830143,7,Q2
71,1,35.8946812,128.60549,0.0071636471435025,143970,SPLY_LS,3.3961801468403148,0.0149619280483941,73276,0.008702838557917921,5,Q2
72,2,35.8958128,128.6122184,0.0071468712707948,143003,SPLY_LS,5.8612702130287495,0.0709752717733486,37855,0.017531094379031487,12,Q4
73,2,35.8941917,128.6098301,0.0070667198789695,178144,SPLY_LS,4.7323804751743825,0.0079681563995028,212285,0.0065262929216154475,9,Q1
74,1,35.8958898,128.6102138,0.0058264702897658,106452,SPLY_LS,8.969727894881665,0.0546122426640383,37858,0.01903750676472918,7,Q4
75,3,35.8974475,128.6082208,0.0065855785297857,177244,SPLY_LS,8.133403815071064,0.0104043197901278,245223,0.007236835361841159,7,Q1
76,2,35.8976809,128.6005573,0.0280477722627098,210516,PIPE_LM,4.944639563561652,0.0280477722627098,210516,0.01144120657294442,11,Q3
77,3,35.8970081,128.6100978,0.0069199309927779,72322,SPLY_LS,8.926291457542606,0.0164284324186314,37892,0.00936144392390249,5,Q3
78,2,35.8945281,128.6102834,0.0070653218895772,107355,SPLY_LS,4.256010817464279,0.0287036873425774,4693,0.010438016023584152,11,Q3
79,1,35.8954018,128.6109694,0.0066237902398419,245334,SPLY_LS,6.205340360812504,0.0072943591516827,106460,0.006659888929708522,6,Q1
80,2,35.897172,128.6035242,0.0533045613371663,143187,PIPE_LM,9.061385970021849,0.0533045613371663,143187,0.016602504615900734,6,Q4
81,1,35.8958181,128.5988243,0.0068302266734385,142153,SPLY_LS,6.141061440203729,0.0263295954033706,299650,0.009405555635494384,8,Q3
82,1,35.8963146,128.608057,0.007295757141075,3823,SPLY_LS,6.716936443517385,0.0148699521170537,37758,0.007689551300130894,11,Q1
83,2,35.8898124,128.6029721,0.0192476446952389,4789,PIPE_LM,5.617155530065516,0.0192476446952389,4789,0.009717426214345038,7,Q3
84,2,35.88985515,128.6014137,0.0070478470221735,245194,SPLY_LS,6.203849249389336,0.0123209634288065,72286,0.007713627455921024,6,Q1
86,1,35.896079,128.6124025,0.0079995042193581,106431,SPLY_LS,6.954533393362059,0.0709752717733486,37855,0.01599766581482046,6,Q4
