cluster_id,repair_count,avg_lat,avg_lon,nearest_d_final,nearest_pipe,nearest_type,nearest_dist,max_d_final,max_d_pipe,avg_d_final,pipe_count,d_final_quartile
278,1,35.8965721,128.6112018,0.0073247988708425,37871,SPLY_LS,8.707332819287446,0.0073247988708425,37871,0.0073247988708425,1,Q2
281,3,35.89185536666667,128.60505253333332,0.0070490120133337,107415,SPLY_LS,5.942158336118091,0.0070490120133337,107415,0.007049012013333699,1,Q2
283,1,35.8970288,128.6009761,0.0070243142007364,177397,SPLY_LS,3.8277330131921468,0.0073178919731198,211499,0.007099274094349365,3,Q2
284,1,35.8947855,128.6115404,0.0113555882357891,4734,SPLY_LS,4.574133398232233,0.0113555882357891,4734,0.011355588235789098,1,Q4
285,1,35.8935864,128.6046368,0.0070650888913452,143172,SPLY_LS,7.765166252897871,0.0071408133167615,106592,0.0070005433886414,3,Q1
287,1,35.8968985,128.5996514,0.0072880681994173,36475,SPLY_LS,8.851762948074844,0.0340237672770658,176381,0.020133723122869443,2,Q4
288,1,35.8958679,128.6034297,0.0071729670727845,406871,SPLY_LS,7.870833890303466,0.0071729670727845,406871,0.0071729670727845,1,Q2
289,1,35.8968767,128.6080844,0.0073092710385339,106482,SPLY_LS,8.528246679362901,0.0073092710385339,106482,0.0073092710385339,1,Q2
291,1,35.8927626,128.6040563,0.0068239357211731,3954,SPLY_LS,5.470702718671084,0.0108101859742057,245467,0.008195890607866746,4,Q3
292,1,35.8919607,128.5968657,0.0092118763518987,175900,SPLY_LS,4.499547766254393,0.0158252248635795,142123,0.010574141541365765,4,Q4
293,1,35.8964988,128.6085216,0.0083062264222522,42492,SPLY_LS,8.415904722497455,0.0459506384797093,211434,0.026811677180192763,2,Q4
294,1,35.8957541,128.612599,0.0142610961155335,177205,SPLY_LS,6.629507506086181,0.0142610961155335,177205,0.009889979939538121,3,Q4
295,2,35.8959285,128.612761,0.0081173287836417,3779,SPLY_LS,6.398264136008693,0.0081173287836417,3779,0.0081173287836417,1,Q3
296,1,35.8945009,128.6106126,0.0061545769249454,212283,SPLY_LS,4.546524410560148,0.0123209634288065,450436,0.007823147244955421,3,Q3
297,1,35.8930396,128.6087085,0.0086194343809785,38791,SPLY_LS,5.300248903016066,0.0086194343809785,38791,0.008058726759496057,2,Q3
298,1,35.8959559,128.6044328,0.0070760398082516,245444,SPLY_LS,9.055791887844093,0.0070760398082516,245444,0.0070760398082516,1,Q2
299,2,35.8966439,128.6027469,0.007087456721622,245481,SPLY_LS,6.630073656677762,0.012615583318517,106362,0.008744235253702652,3,Q3
300,1,35.8940245,128.6093829,0.0061656567578252,4719,SPLY_LS,6.343196892866708,0.0074632828699192,178143,0.006458883595616912,4,Q1
301,1,35.89267,128.6042972,0.0107956468845258,211469,SPLY_LS,8.730095270128379,0.0107956468845258,211469,0.0107956468845258,1,Q4
302,2,35.8950104,128.610865,0.006628916200947,106463,SPLY_LS,7.90566818937998,0.006628916200947,106463,0.006628916200947,1,Q1
303,1,35.8974142,128.606475,0.0070366631070351,72420,SPLY_LS,7.271772027012159,0.0072477595052726,72421,0.007141095422021634,2,Q2
304,1,35.8952943,128.6093955,0.0065531917755307,3842,SPLY_LS,7.002256470665875,0.007443944016659,72379,0.007036009335038204,3,Q1
305,1,35.8942994,128.6059823,0.0078537834979163,38864,SPLY_LS,5.404800221158129,0.0078537834979163,38864,0.007561719344977177,2,Q2
307,1,35.8980531,128.6052826,0.0068861462491306,106789,SPLY_LS,8.351476943931752,0.0068861462491306,106789,0.0068861462491306,2,Q1
308,2,35.8980324,128.6046759,0.0071620161558781,177599,SPLY_LS,2.5349503967349722,0.016012490452254,434486,0.009760382835651909,4,Q3
