rank,lithoidx,lithoname,count,total_area,avg_area,total_length,unique_ages,ages,map_count,maps
184,Kssv,퇴적암 및 화산암,4,14325084.427593,3581271.10689825,39463.087707340004,1,중생대 백악기(4),2,"강릉, 속초"
185,Qtb(IV)(S),제4기 조면현무암(IV),28,14129132.7971717,504611.88561327505,74828.57911800798,1,신생대 제4기(28),1,제주
186,Jga,대보관입암류 섬록암,7,14100128.882162001,2014304.126023143,49093.799287279995,1,중생대 쥐라기(7),2,"남천점, 서울"
187,Qtb(VII)(S),제4기 조면현무암(VII),40,13728892.1429886,343222.303574715,84265.731993891,1,신생대 제4기(40),1,제주
188,Qb,제사기 현무암,18,13619319.4359387,756628.8575521499,112354.06301157501,1,신생대 제4기(18),2,"남천점, 서울"
189,PCEkbpgrgn,부산반상질화강편마암,2,13489274.775035001,6744637.387517501,18099.73610744,1,선캄브리아시대(2),1,강릉
190,Kpsv,퇴적암 및 화산암,4,13324417.888225999,3331104.4720564997,48420.01616926,1,중생대 백악기(4),1,강릉
191,Jhb,대보관입암류섬록암,6,13147419.600788997,2191236.6001314996,45110.62583302,1,중생대 쥐라기(6),2,"광주, 여수"
192,Kmj,진안층군적상산층,3,12156741.952930002,4052247.3176433337,26885.112374090004,1,중생대 백악기(3),1,광주
193,PCEdoo,선캠브리아시대 백령층군 두무진층,8,12150818.824761,1518852.353095125,56755.02554057,1,선캄브리아시대(8),1,진남포
194,Kid,맥암류,18,12148280.035091,674904.4463939444,69861.21554779,1,중생대 백악기(18),3,"목포, 부산, 안동"
195,PCEqt,선캠브리아시대 백령층군 규암,5,11939601.6572237,2387920.33144474,36424.150311365,1,선캄브리아시대(5),1,진남포
196,Qtb(I),제4기 조면현무암(I),11,11878768.466791999,1079888.0424356363,69192.68939342,1,신생대 제4기(11),1,제주
197,Qb(III)(S),제4기 현무암(III),39,11729939.909505898,300767.6899873307,81940.190933733,1,신생대 제4기(39),1,제주
198,dq,덕용산규암,7,11716486.505265001,1673783.7864664288,76952.62285248001,1,시대 미상(7),1,목포
199,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),4,10867259.269899,2716814.81747475,38449.83310548,1,시대 미상(4),1,부산
200,Kgb,불국사관입암류반려암,3,9938786.31091,3312928.770303333,26046.102339800003,1,중생대 백악기(3),1,안동
201,Ky6,경상누층군하양층군신양동층,2,9679559.121580001,4839779.5607900005,32734.938479000004,1,중생대 백악기(2),1,안동
202,Jmj,대동층군 적성층,7,9626644.419476,1375234.9170680002,47424.116084429996,1,중생대 쥐라기(7),1,서울
203,y,용암산층,8,9206118.871932,1150764.8589915,69696.24714844,1,시대 미상(8),1,목포
204,kq,면수산규암,1,8906792.28672,8906792.28672,19986.3752699,1,시대 미상(1),1,강릉
205,v,소백산편마암복합체 평해층군,3,8807876.77618,2935958.925393333,30373.09216851,1,선캄브리아시대(3),1,안동
