지시번호,접수번호,공사일자,위치,유형,공사개요,계,도급액,관급자재,도로복구비,건강보험,연금보험,산재보험,고용보험,요양보험,퇴직공제,보험료 (원),"산업안전
보건관리비",관경,관종,부위,원인,누수량,중구역,소구역,살수량,계.1,사용료,물이용부담금,GIS 등록,비고,작업일시,위도,경도
76,20220125-0042,01-25,동구 신천동 833-13,지상사유지,D13 보호통 수선,"618,750 ","618,750 ",0 ,0 ,"7,040 ","9,240 ","8,580 ","2,010 ",810 ,"4,270 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,220.0,48,0.0,0 ,0 ,0 ,미등록,폐콘 0.23,2022-01-25,35.8689585,128.6170584
77,20220125-0163,01-25,동구 신평동 41-30 대아금속,지상사유지,D20 보호통수선,"968,510 ","968,510 ",0 ,0 ,"12,380 ","16,240 ","15,090 ","3,540 ","1,420 ","8,300 ",,0,20.0,계량기보호통(실),계량기보호통,노후,,230.0,201,0.0,0 ,0 ,0 ,미등록,,2022-01-25,35.8832052,128.6950162
78,20220125-0185,01-25,동구 신서동 543,지하공도,D150 제수변스핀들수선,"517,670 ","517,670 ",0 ,0 ,"6,940 ","9,100 ","8,460 ","1,980 ",790 ,"4,650 ",0,0,150.0,변류,본체,노후,766.08,237.0,261-2,,0 ,0 ,0 ,등록,폐아 0.2,2022-01-25,35.86859,128.7294427
79,20220125-0186,01-25,동구 율암동 323,기타,D13 보호통 수선,"575,330 ","575,330 ",0 ,0 ,"6,900 ","9,060 ","8,410 ","1,970 ",790 ,"4,630 ",0,0,,,,,,233.0,228,,0 ,0 ,0 ,미등록,,2022-01-25,35.8782659,128.7049917
80,20220125-0188,01-25,동구 율암동 320-1,기타,D13 보호통 수선,"637,520 ","637,520 ",0 ,0 ,"7,030 ","9,230 ","8,570 ","2,010 ",800 ,"4,710 ",0,0,,,,,,233.0,228,,0 ,0 ,0 ,미등록,,2022-01-25,35.8782388,128.7047018
81,20220126-0005,01-26,동구 지묘동 562-4,지상공도,PFP D50×25 분기점 수선,"1,137,560 ","1,137,560 ",0 ,0 ,"13,030 ","17,100 ","15,890 ","3,730 ","1,500 ","8,740 ",0,0,25.0,부분기대,부분기대,노후,2,201.0,57,0.0,0 ,0 ,0 ,미등록,폐아 0.3,2022-01-26,35.9416549,128.6400214
82,20220126-0449,01-26,동구 효목동 384-2,지상사유지,"D13 보호통수선
","601,060 ","601,060 ",0 ,0 ,"6,720 ","8,820 ","8,190 ","1,920 ",770 ,"4,510 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,606.0,36,0.0,0 ,0 ,0 ,미등록,폐콘 0.23,2022-01-26,35.8782434,128.6360207
83,20220126-0450,01-26,동구 방촌동 114-3,지상사유지,D13 보호통수선,"671,520 ","671,520 ",0 ,0 ,"7,950 ","10,440 ","9,700 ","2,280 ",910 ,"5,330 ",,0,15.0,계량기보호통(실),계량기보호통,부식,,226.0,116,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2022-01-26,35.8926929,128.6770711
84,20220126-0451,01-26,동구 방촌동 128-21,지상사유지,D13 보호통수선,"642,750 ","642,750 ",0 ,0 ,"7,390 ","9,700 ","9,010 ","2,110 ",850 ,"4,950 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,226.0,116,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2022-01-26,35.8904513,128.6771874
85,20220127-0028,01-27,동구 부동 631-1,지상공도,D13 접합부수선,"504,870 ","504,870 ",0 ,0 ,"6,460 ","8,480 ","7,880 ","1,850 ",740 ,"4,330 ",0,0,15.0,스텐레스관,이형관,부식,2,225.0,110,0.0,0 ,0 ,0 ,미등록,폐콘 0.3,2022-01-27,35.8947143,128.6817178
86,20220127-0199,01-27,동구 신천동 807-34,지상사유지,"D13 보호통수선
","594,480 ","594,480 ",0 ,0 ,"6,910 ","9,060 ","8,420 ","1,980 ",790 ,"4,630 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,220.0,48,,,,,미등록,,2022-01-27,35.8692129,128.6171871
