NO,접수번호,부서,정산년월,지시번호,공사명,공사유형,탐사구분,주소,접수일시,작업시작,작업종료,용도구분,구군,중구역번호,소구역번호,도로구분,누수관경,누수관종,누수부위,누수원인,손괴원인,누수시간,누수량,용수구분,GIS 입력,위도,경도,epsg5179위도,epsg5179경도
57,20220228-0517,북부사업소,202202,162 ,북구 연암공원로10길 25-4 (산격동) / 1436-7번지,지상-사유지,,산격동 1436-7,2022-02-28 14:36,,2022-02-28 15:30,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),앵글밸브,노후,,,,생활용수,미입력,35.8946168,128.6014524,1099405.124,1767005.234
58,20220224-0576,북부사업소,202202,156 ,북구 연암공원로32길 62-18 (산격동) / 1197-107번지,지상-사유지,,산격동 1197-107,2022-02-24 17:13,,2022-02-24 18:30,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,미입력,35.8981224,128.6047911,1099702.054,1767397.474
59,20220222-0428,북부사업소,202202,150 ,북구 대동로8길 3-7 (산격동) / 1268-11번지,지상-사유지,,산격동 1268-11,2022-02-22 16:21,,2022-02-22 18:00,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),앵글밸브,노후,,,,생활용수,미입력,35.8962995,128.6107534,1100242.442,1767201.38
60,20220218-0217,북부사업소,202202,140 ,북구 산격로 39-2 (산격동) / 1425-3번지,지하-사유지,용역,산격동 1425-3,2022-02-18 13:08,,2022-02-21 16:30,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),계량기보호통,노후,,25일,126 ,생활용수,미입력,35.8940715,128.6048788,1099715.05,1766948.241
61,20220213-0004,북부사업소,202202,119 ,"북구 산격로10길 15 (산격동,반올림피자샵) / 1407-41번지",지상-사유지,,산격동 1407-41,2022-02-13 12:22,,2022-02-13 16:00,급수관,북구,0520,48,사유지,15 ,계량기보호통(실),접합부,노후,,,,생활용수,미입력,35.8950564,128.606879,1099894.337,1767059.528
62,20220207-0040,북부사업소,202202,96 ,북구 연암로12길 6-6 (산격동) / 1016번지,지하-사유지,용역,산격동 1016,2022-02-07 09:34,,2022-02-14 14:00,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,19일,146 ,생활용수,미입력,35.8913731,128.5976352,1099064.653,1766641.569
63,20220207-0037,북부사업소,202202,95 ,북구 연암공원로11길 13-1 (산격동) / 1180-77번지,지하-공도,용역,산격동 1180-77,2022-02-07 09:31,,2022-02-07 11:30,급수관,북구,0520,46-1,공도,15 ,부분기대,부분기대,노후,,19일,114 ,생활용수,입력,35.8973802,128.599116,1099190.81,1767309.373
64,20220207-0031,북부사업소,202202,94 ,북구 연암공원로 37-6 (산격동) / 1133번지,지하-사유지,용역,산격동 1133,2022-02-07 09:26,,2022-02-14 12:00,급수관,북구,0520,46-1,사유지,15 ,스텐레스관,이형관,노후,,19일,27 ,생활용수,미입력,35.8942969,128.598015,1099095.288,1766966.259
65,20220117-0498,북부사업소,202201,42 ,북구 연암로 56-1 (산격동) / 1018-1번지,지하-사유지,자체-주간,산격동 1018-1,2022-01-17 18:00,,2022-01-17 19:30,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,9일,54 ,생활용수,미입력,35.8912709,128.5975259,1099054.915,1766630.122
66,20220112-0012,북부사업소,202201,26 ,"북구 연암로4길 35 (산격동,온누리어린이집) / 1401-4번지",지상-공도,,산격동 1401-4,2022-01-12 09:13,,2022-01-12 13:30,급수관,북구,0520,47,공도,25 ,부분기대,부분기대,노후,,2시간,1 ,생활용수,입력,35.8902696,128.6031064,1099559.845,1766524.73
67,20220106-0361,북부사업소,202201,15 ,북구 연암공원로 90-10 (산격동) / 1185-10번지,지상-사유지,,산격동 1185-10,2022-01-06 15:08,,2022-01-06 17:00,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,미입력,35.8977531,128.6018716,1099439.035,1767353.536
68,20211231-0128,북부사업소,202201,972 ,북구 연암공원로 77-3 (산격동) / 1183-16번지,지상-사유지,,산격동 1183-16,2021-12-31 10:42,,2021-12-31 13:30,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),앵글밸브,접합부이완,,,,생활용수,미입력,35.8971837,128.6002156,1099290.293,1767288.695
69,20211213-0383,북부사업소,202201,906 ,북구 산격로10길 34-2 (산격동) / 1313-16번지,지상-사유지,,산격동 1313-16,2021-12-13 16:20,,2021-12-13 18:00,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),계량기보호통,부식,,,,생활용수,미입력,35.8947343,128.6090964,1100094.867,1767026.071
