wkt_geom,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,FNS_YMD,WTP_CDE,RMK_TXT
"MultiLineString ((1099673.70325588993728161 1767450.83246877999044955, 1099674.34558478998951614 1767448.01332277990877628))",SA002,245673,2723063100,35803045,54000,19930410,,1,13,12,,0,0,1.80001E+12,1,,245673,SA006,,61749,B,243,520,P0,0,,,
"MultiLineString ((1099733.55611331993713975 1767439.05028034001588821, 1099736.69095036992803216 1767441.45563030010089278))",SA002,72647,2723063100,35803045,54000,19920906,,1,13,7,,0,0,1.80001E+12,1,,72647,SA006,,196648,B,243,520,P0,0,,,
"MultiLineString ((1099747.69128704001195729 1767420.62794052995741367, 1099751.4635154299903661 1767423.52188148000277579))",SA002,211644,2723063100,35803045,54000,19940119,,1,13,12,,0,0,1.80001E+12,1,,211644,SA006,,123263,B,243,520,P0,0,,,
"MultiLineString ((1099731.00818564253859222 1767459.90686601237393916, 1099732.51958884252235293 1767457.0231002124492079))",SA002,430292,2723063100,35803045,54000,20120810,,1,13,6,,0,0,2.01207E+12,1,12월 13일,430292,SA006,,317647,B,243,520,P0,0,20120810,SS002,
"MultiLineString ((1099743.50144101004116237 1767380.89009359991177917, 1099746.57544665993191302 1767383.28050007997080684))",SA002,106789,2723063100,35803045,54000,19940901,,1,13,7,,0,0,1.80001E+12,1,,106789,SA006,,88249,B,243,520,P0,0,,,
"MultiLineString ((1099696.54600559989921749 1767368.09008900006301701, 1099700.72093060007318854 1767368.61957069998607039))",SA002,4138,2723063100,35803045,54000,19930410,,1,13,12,,0,0,1.80001E+12,1,13-93,4138,SA006,,203187,B,243,520,P0,0,19930410,SS002,
"MultiLineString ((1099725.2820395699236542 1767338.91992525989189744, 1099723.12514202995225787 1767340.90672140009701252))",SA002,106799,2723063100,35803045,54000,19901018,,1,13,12,,0,0,1.80001E+12,1,,106799,SA006,,55287,B,243,520,P0,0,,,
"MultiLineString ((1099702.16714369342662394 1767337.1534141746815294, 1099707.27008210006169975 1767337.81770709995180368))",SA002,38228,2723063100,35803045,54000,19941207,,1,13,6,,0,0,1.80001E+12,1,13-94,38228,SA006,,123260,B,243,520,P0,0,19941207,SS002,
"MultiLineString ((1099692.33219144819304347 1767401.30355225177481771, 1099688.25208949996158481 1767400.78687030007131398))",SA002,211655,2723063100,35803045,54000,19920426,,1,13,14,,0,0,1.80001E+12,1,13-92,211655,SA006,,94929,B,243,520,P0,0,19920426,SS002,
"MultiLineString ((1099745.31055716006085277 1767378.56308928993530571, 1099748.56342719006352127 1767381.09223318006843328))",SA002,211647,2723063100,35803045,54000,19940901,,1,13,7,,0,0,1.80001E+12,1,,211647,SA006,,123261,B,243,520,P0,0,,,
"MultiLineString ((1099695.4041305601131171 1767377.72053343011066318, 1099677.93000449007377028 1767375.50570822996087372))",SA002,38163,2723063100,35803045,54000,19950119,,1,13,18,,0,0,1.80001E+12,1,,38163,SA006,,94917,B,243,520,P0,0,,,
"MultiLineString ((1099693.96530840010382235 1767388.72284010006114841, 1099698.60009320010431111 1767389.3105333000421524))",SA002,143355,2723063100,35803045,54000,19880506,,1,13,7,,0,0,1.80001E+12,1,13-88,143355,SA006,,34640,B,243,520,P0,0,19880506,SS002,
"MultiLineString ((1099696.68564804992638528 1767366.91235900996252894, 1099691.18928535003215075 1767366.42766585992649198))",SA002,38230,2723063100,35803045,54000,19930118,,1,13,10,,0,0,1.80001E+12,1,,38230,SA006,,81673,B,243,520,P0,0,,,
"MultiLineString ((1099729.58730015996843576 1767398.78199768997728825, 1099732.75619178009219468 1767401.24584323004819453))",SA002,211646,2723063100,35803045,54000,19940901,,1,13,7,,0,0,1.80001E+12,1,,211646,SA006,,176867,B,243,520,P0,0,,,
"MultiLineString ((1099693.7987348260357976 1767389.99664186150766909, 1099688.73439099988900125 1767389.70811549993231893))",SA002,177599,2723063100,35803045,54000,19910605,,1,13,10,,0,0,1.80001E+12,1,13-91,177599,SA006,,55285,B,243,520,P0,0,19910605,SS002,
"MultiLineString ((1099698.04052289994433522 1767356.22091659996658564, 1099693.1626269998960197 1767355.60170169989578426))",SA002,38229,2723063100,35803045,54000,19921223,,1,13,10,,0,0,1.80001E+12,1,13-92,38229,SA006,,88258,B,243,520,P0,0,19921223,SS002,
"MultiLineString ((1099697.87101210001856089 1767357.55605284008197486, 1099701.0807954000774771 1767357.92692100000567734, 1099703.48137913993559778 1767357.26756428997032344))",SA002,37780,2723063100,35803045,54000,19950527,,1,13,2,,0,0,2.00309E+12,1,,37780,SA006,,14725,B,243,520,P0,0,,,
"MultiLineString ((1099692.4764209499116987 1767400.12435098993591964, 1099697.08276581997051835 1767400.70843535009771585))",SA002,38231,2723063100,35803045,54000,19890425,,1,13,14,,0,0,1.80001E+12,1,,38231,SA006,,27977,B,243,520,P0,0,,,
"MultiLineString ((1099674.47371713002212346 1767346.29266287991777062, 1099678.08969405991956592 1767346.77765607996843755))",SA002,143357,2723063100,35803045,54000,19920314,,1,13,8,,0,0,1.80001E+12,1,,143357,SA006,,130046,B,243,520,P0,0,,,
"MultiLineString ((1099672.77915977011434734 1767365.67433125991374254, 1099676.18564969999715686 1767365.66725273989140987))",SA002,38232,2723063100,35803045,54000,19920314,,1,13,8,,0,0,1.80001E+12,1,,38232,SA006,,110344,B,243,520,P0,0,,,
"MultiLineString ((1099736.17154022003524005 1767390.30450903996825218, 1099739.7050028198864311 1767393.05183002003468573))",SA002,106788,2723063100,35803045,54000,19940901,,1,13,7,,0,0,1.80001E+12,1,,106788,SA006,,149906,B,243,520,P0,0,,,
"MultiLineString ((1099692.54689857992343605 1767399.56953604007139802, 1099675.50680435006506741 1767397.40926769003272057))",SA002,143356,2723063100,35803045,54000,19890616,,1,13,28,,0,0,1.80001E+12,1,,143356,SA006,,163911,B,243,520,P0,0,,,
"MultiLineString ((1099675.33183238003402948 1767342.30624830001033843, 1099670.77969821006990969 1767341.6801559398882091))",SA002,245668,2723063100,35803045,54000,19920314,,1,13,12,,0,0,1.80001E+12,1,,245668,SA006,,81681,B,243,520,P0,0,,,
"MultiLineString ((1099749.8877390599809587 1767365.63509421003982425, 1099747.09178622998297215 1767368.61497354996390641, 1099734.37462062994018197 1767365.0349112800322473))",SA002,106367,2723063100,35803045,54000,19940607,,1,13,36,,0,0,1.80001E+12,1,,106367,SA006,,88250,B,243,520,P0,0,,,
"MultiLineString ((1099695.29771367786452174 1767378.53429618594236672, 1099699.95495969988405704 1767379.18321710010059178))",SA002,4139,2723063100,35803045,54000,19921223,,1,13,10,,0,0,1.80001E+12,1,13-92,4139,SA006,,196647,B,243,520,P0,0,19921223,SS002,
"MultiLineString ((1099672.61750252009369433 1767385.71830542990937829, 1099675.83660543011501431 1767387.44605810008943081))",SA002,72662,2723063100,35803045,54000,19950119,,1,13,18,,0,0,1.80001E+12,1,,72662,SA006,,101565,B,243,520,P0,0,,,
"MultiLineString ((1099698.15396174998022616 1767355.32577573996968567, 1099699.27290108008310199 1767355.46746331988833845, 1099714.66819278011098504 1767357.41701943008229136, 1099714.39431956992484629 1767359.57542570005171001))",SA002,38227,2723063100,35803045,54000,19880919,,1,13,20,,0,0,1.80001E+12,1,,38227,SA006,,27978,B,243,520,P0,0,,,
"MultiLineString ((1099695.95202549989335239 1767373.09965200000442564, 1099700.37731790007092059 1767373.84479720005765557))",SA002,211299,2723063100,35803045,54000,19880919,,1,13,12,,0,0,1.80001E+12,1,13-88,211299,SA006,,27979,B,243,520,P0,0,19880919,SS002,
"MultiLineString ((1099699.96656297240406275 1767347.11801298684440553, 1099696.45924713090062141 1767346.69186095474287868))",SA002,72660,2723063100,35803045,54000,19930118,,1,13,8,,0,0,1.80001E+12,1,13-93,72660,SA006,,149915,B,243,520,P0,0,19930118,SS002,
"MultiLineString ((1099766.05770882009528577 1767396.69294766988605261, 1099761.81603628001175821 1767393.43792450008913875))",SA002,177579,2723063100,35803045,54000,19880626,,1,13,10,,0,0,1.80001E+12,1,,177579,SA006,,75089,B,243,520,P0,0,,,
