FTR_IDN,lithoidx,lithoname,K_SOIL
324787,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324795,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324796,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324797,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324798,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324799,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324800,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324802,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
324843,Km6,하양층군함안층,1.0
324844,Km6,하양층군함안층,1.0
324845,Km6,하양층군함안층,1.0
324846,Km6,하양층군함안층,1.0
324848,Km6,하양층군함안층,1.0
324849,Km6,하양층군함안층,1.0
324891,Qa,충적층,1.3
324892,Qa,충적층,1.3
324893,Qa,충적층,1.3
324939,Km6,하양층군함안층,1.0
324940,Km6,하양층군함안층,1.0
324941,Km6,하양층군함안층,1.0
324942,Km6,하양층군함안층,1.0
324943,Km6,하양층군함안층,1.0
325181,Km6,하양층군함안층,1.0
329428,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
329429,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
329430,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
329431,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
407185,Km6,하양층군함안층,1.0
407186,Km6,하양층군함안층,1.0
407187,Km6,하양층군함안층,1.0
407188,Km6,하양층군함안층,1.0
407189,Km6,하양층군함안층,1.0
407190,Km6,하양층군함안층,1.0
407191,Km6,하양층군함안층,1.0
407192,Km6,하양층군함안층,1.0
407206,Km6,하양층군함안층,1.0
407211,Km6,하양층군함안층,1.0
407421,Km6,하양층군함안층,1.0
407422,Km6,하양층군함안층,1.0
407424,Km6,하양층군함안층,1.0
408303,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
408305,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
408306,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
408307,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
408308,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
408309,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
408602,Km6,하양층군함안층,1.0
408628,Km6,하양층군함안층,1.0
411542,Km6,하양층군함안층,1.0
411543,Km6,하양층군함안층,1.0
411544,Km6,하양층군함안층,1.0
411654,Km6,하양층군함안층,1.0
411762,Km6,하양층군함안층,1.0
412000,Km6,하양층군함안층,1.0
412753,Km6,하양층군함안층,1.0
413291,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
413292,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
413296,Km6,하양층군함안층,1.0
413297,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
413298,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
413300,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
413303,Km6,하양층군함안층,1.0
413304,Km6,하양층군함안층,1.0
414353,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
414354,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
414361,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
415362,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
415363,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
415364,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
415692,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
415693,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
415694,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
415695,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
415765,Qa,충적층,1.3
415766,Km6,하양층군함안층,1.0
416928,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
416929,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
417712,Km6,하양층군함안층,1.0
417714,Km6,하양층군함안층,1.0
418132,Km6,하양층군함안층,1.0
418133,Km6,하양층군함안층,1.0
418134,Km6,하양층군함안층,1.0
418135,Km6,하양층군함안층,1.0
418147,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
418174,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
418928,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
418929,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
418930,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
419196,Km6,하양층군함안층,1.0
419200,Km6,하양층군함안층,1.0
419203,Km6,하양층군함안층,1.0
420515,Km6,하양층군함안층,1.0
420516,Km6,하양층군함안층,1.0
420752,Km6,하양층군함안층,1.0
420931,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
426855,Qa,충적층,1.3
427780,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
427781,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
430998,Km6,하양층군함안층,1.0
434486,Km6,하양층군함안층,1.0
435127,Km6,하양층군함안층,1.0
436645,Km6,하양층군함안층,1.0
436646,Km6,하양층군함안층,1.0
